Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,13.20107364654541,12.02920913696289,0.1449342966079712,0.4276946783065796,10.756936073303223,19.56281280517578,18.374576568603516,0.10820014774799347,5.359894752502442,6.780364513397217,20.508651733398438,6.001635074615479,22.933311462402344,2.066688060760498,0.0977465510368347,16.329687118530273,54.04037094116211,57.24928283691406,0.2804436683654785,0.11330512911081313,1.8536028861999512,0.10736344009637833,544975344.0,0.943874478340149,1.3893131017684937,39609929728.0,49549176832.0,3721498368.0,68106018816.0,819832576.0,80.90030288696289,545000000.0,0.07278896123170853,6288452.0,80.40470123291016,490440384.0,13642105.0,638091.75,389364608.0,0.271243542432785,0.225066676735878,1564054144.0,52302940.0,7054226.5,615946477.3007812,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.01,22.64228275844029,20.53981508527483,0.1449342966079712,0.6736026065690177,21.81425585065569,31.132417951311385,27.50439718791417,0.07962019768144403,7.565724917820522,11.650859832763672,32.567635672433035,9.602811540876116,39.797903878348215,3.0592394726616994,0.3144380474197013,27.579469408307755,55.07312447684152,125.42103358677456,0.4206980381693159,0.1876105112688882,2.7109817436763217,0.191463725907462,544940187.4285715,1.6191261155264718,2.727205344608852,58049404928.0,74891093138.28572,5255870464.0,100750822838.85715,1319328841.142857,50.058670146124705,545000000.0,0.1151253410748073,9609389.0,95.48605782645089,700965958.8571428,15971083.810407367,2456629.4285714286,551741769.1428572,0.4522139515195574,0.30584067957741873,1250241755.4285715,54776537.14285714,9137541.238978794,825800736.7410715,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.02,26.733727046421595,15.745588030133929,0.658556308065142,0.6261231856686729,22.408900669642858,31.326503208705358,27.293264661516464,0.019526064171389253,7.322018555232458,11.203096117292132,32.199851989746094,8.52420152936663,39.532554626464844,3.324587447302682,0.23499028171811784,27.496708461216517,65.62817055838448,192.18710327148438,0.38747401748384747,0.15408957430294581,2.9290691784449985,0.1143149903842381,544983670.8571428,1.4198198318481445,2.145391966615404,69584584118.85715,88352083382.85715,5979056493.714286,119739683401.14285,1572684726.857143,65.36115768977574,545000000.0,0.11188933253288268,9506895.142857144,46.784083775111604,793829330.2857143,15101459.0,2209418.714285714,622595405.7142857,0.4402715989521572,0.2843149048941476,1435299072.0,59051722.28571428,8708322.57142857,1169292413.4174106,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.03,24.67781720842634,18.243647984095983,0.32321687255586895,0.6830988781792777,21.14986256190709,31.617144993373326,33.757492542266846,0.46313728179250446,9.42952128819057,11.464021682739258,32.83779689243862,9.226087025233678,40.16658020019531,2.690563065665109,0.30427366624852376,27.543418339320592,67.63216945103237,134.00145612444197,0.41963610478809904,0.17174860835075378,2.810208184378488,0.18818137049674988,544947236.5714285,1.5182763508387975,2.5295053890773227,76767192210.28572,97931271021.71428,6845380461.714286,132578204525.71428,1715959186.2857144,52.877905573163716,545000000.0,0.11493691589151109,11433118.285714285,95.73038155691964,909986907.4285715,19671910.457728796,2760168.8571428573,715258733.7142857,0.4492161273956299,0.32857016154697966,1809256777.142857,72519616.0,11039529.886300223,1190099720.8526785,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.04,24.881368364606583,17.97577449253627,0.32321687255586895,0.6811215877532959,21.11626706804548,31.942304338727677,32.100274971553254,0.021034288619245785,8.551743916102819,11.36688586643764,33.136561802455354,9.24651391165597,40.10405731201172,2.7530854088919505,0.2880013203913612,27.508501870291575,67.62506539481026,134.5064697265625,0.41725488219942364,0.16934560452188765,2.827879020145961,0.20139190980366298,544957906.2857143,1.5080790179116386,2.5291588647024974,76103279762.28572,96816435785.14285,6779064320.0,131290567241.14285,1697432137.142857,52.245957834380015,545000000.0,0.11520882163728986,11459310.857142856,99.37016950334821,898837814.8571428,19486932.452706475,3010249.5714285714,706796672.0,0.44875177315303255,0.32858749798366,1792890660.5714285,72463568.0,10996069.881277902,1195311234.875,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.05,28.687156041463215,20.96302858988444,0.6875158945719401,0.9723782589038213,34.89340909322103,39.35029363632202,36.012205600738525,0.18238782389865563,9.176891485850016,13.266971588134766,40.55538924535116,11.224844137827555,46.50003560384115,20.16663146018982,0.3489936136951049,32.294525146484375,97.97360229492188,225.28575642903647,0.638296494881312,0.19145695368448892,4.351378997166951,0.20497468610604605,544983989.3333334,1.7629916667938232,3.3096167842547097,82494081024.0,105149100032.0,7308250965.333333,142376882176.0,1846576960.0,27.371776660283405,545000000.0,0.1317924931645393,12545041.166666666,106.81273396809895,970173740.6666666,21714089.111653645,3077649.890625,761580862.3333334,0.5175593694051107,0.39164866010347993,1977693077.3333333,80246073.33333333,12161262.278320312,1279279677.4036458,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.06,24.738525390625,18.118617466517858,0.6875158945719401,0.8065095629010882,29.95440891810826,33.50145448957171,33.64999866485596,0.008973862427020685,10.251632690429688,9.65392712184361,34.74382175718035,9.483638414314814,40.95563834054129,16.18721890449524,0.28306636214256287,27.40262004307338,87.26575034005302,135.1787109375,0.5445240480559213,0.16871748651776994,3.696420533316476,0.16938040937696183,544956160.0,1.5031839779445104,3.035481184720993,80152344283.42857,102108123721.14285,7126259126.857142,138332665563.42856,1798765641.142857,54.39469119480678,545000000.0,0.116628783089774,11701809.42857143,97.76686750139508,1338276411.4285715,20311751.714285713,2775369.0714285714,1130268836.5714285,0.4486639159066336,0.40043753385543823,1866402980.5714285,74402726.85714285,11340465.0,1279487633.1450894,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.07,26.091567720685685,31.065355028424943,0.5552892003740583,0.8322144959654126,29.513452529907227,40.382429940359934,33.10997063773019,0.0632064790198845,9.112836565290179,15.890451158796038,42.91337367466518,13.163966042654854,50.934923444475444,6.207933562142508,0.4742980280092785,36.77514375959124,87.70466068812779,195.50099509102958,0.5590622254780361,0.29353411708559307,3.7372941970825195,0.21433689764567784,545015186.2857143,2.2887909752982005,3.0921427522386824,76248344283.42857,96888018358.85715,6794177755.428572,131486530121.14285,1697667099.4285715,52.20957224709647,545000000.0,0.1528365910053253,11776293.857142856,99.56128801618304,897131387.4285715,20140599.42857143,3036207.0491071427,706050754.2857143,0.6362657972744533,0.4052794745990208,1843607552.0,73497765.71428572,11337233.714285715,1185940623.029018,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.08,24.77265112740653,18.03283473423549,0.14007060868399485,0.6597672530582973,21.209324428013392,31.857958112444198,32.31297377177647,0.053760099490838376,8.864280700683594,11.425484248570033,33.005592346191406,9.2202821459089,40.11910465785435,2.738037245614188,0.3401495066604444,27.578356061662948,67.60177830287388,135.26915196010046,0.41710424423217773,0.16884827188083104,2.7924444334847585,0.17463338800839015,544964973.7142857,1.5128332887377058,2.528867108481271,76710030774.85715,97715624813.71428,6827318710.857142,132395162477.71428,1712095049.142857,52.323923979486736,545000000.0,0.11490794164793829,11258960.285714285,91.31743948800224,875021207.7142857,19550376.85770089,3138620.6428571427,713472932.5714285,0.4472792489188058,0.32911235094070435,1795523510.857143,71526526.85714285,10910917.71484375,1164967455.9575894,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
0.09,8.658828735351562,8.138189315795898,0.14007060868399485,0.570343383720943,10.862081442560468,14.624822616577148,15.300220648447672,0.07168304494449071,6.377492359706333,7.205268042428153,18.237420082092285,5.219900925954183,15.631861368815104,17.70147196451823,0.15994454780593514,10.892908732096354,40.13479487101237,41.505968729654946,0.7274532914161682,0.07559491197268169,3.63535205523173,0.0716265042622884,544969782.8571428,0.6380194028218586,1.4320236841837566,38363987968.0,48306137770.666664,3661748565.3333335,66178804394.666664,806051925.3333334,50.18233142580305,545000000.0,0.07773832338196891,8523189.44642857,56.43341064453125,500920247.1666667,14518451.415852865,983310.0833333334,384345813.3333333,0.17861555020014444,0.12702658772468567,1233530442.6666667,43112229.333333336,7577032.582519531,495738686.0833333,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,57.0,56.0,61.0,51.0,52.0,44.0,90.0,545.0,2.0,36.0516220331192,0.9214959740638732,3196.0,13.0,2.528770446777344
