Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.606908529996872,22.398110389709473,0.007531034760177125,13.749864101409912,0.2737092413008213,-1.0,-1.0,-1.0,0.47491009533405304,-1.0,3.043851852416992,14.45127448439598,544935888.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.28621172904968,545000000.0,-1.0,10807528.5,229.01782989501953,1006688579.6879883,17306162.5,2753775.5,800039488.0,-1.0,-1.0,-1.0,59298114.0,9879676.0,1433627236.6015625,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.01,1.0583729658808028,27.561043875558035,0.29491740678037914,11.142987659999303,0.3942998344344752,-1.0,-1.0,-1.0,1.505336310182299,-1.0,4.071634667260306,11.874844866139549,544835318.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.223706007003784,545000000.0,-1.0,11489021.628522601,299.0536150251116,974014988.5714285,21005805.95689174,23766580.410714287,732336005.0,-1.0,-1.0,-1.0,74890824.91350447,11463974.156808035,1309837859.5736606,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.02,10.770270041057042,33.80736487252371,0.10610217760716165,10.929005214146205,0.353316598704883,-1.0,-1.0,-1.0,1.7645254135131836,-1.0,3.0717408316476003,8.593786980424607,544909312.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.57232974256788,545000000.0,-1.0,11329298.289271763,198.04446847098214,930761863.7857143,20759676.15625,2478758.25,732721910.8571428,-1.0,-1.0,-1.0,71885811.42857143,11319798.768973215,1271024047.6361606,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.03,0.8058310821652412,25.760485649108887,0.094557822412753,12.408445835113525,0.4388075233437121,-1.0,-1.0,-1.0,1.3234356897217887,-1.0,3.045412642615182,17.246993013790675,544905744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.82359904050827,545000000.0,-1.0,10444105.6512146,104.29311261858258,714048293.1428572,17099299.593331475,1971188.0714285714,564043286.8571428,-1.0,-1.0,-1.0,59834517.05078125,9438393.90904018,948758287.75,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.04,0.7804978688557943,17.565317789713543,0.1502405305703481,9.367191314697266,0.3665964232447247,-1.0,-1.0,-1.0,1.386074457849775,-1.0,2.692800828388759,0.22346179825919016,544981162.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.24859676758448,545000000.0,-1.0,8413655.842041016,158.35249546595983,704576596.0,19484838.39829799,1394064.767857143,553087520.0,-1.0,-1.0,-1.0,56381930.405133925,10234661.69140625,835390389.0290178,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.05,0.8873105049133301,17.84260235913098,0.16904746397631243,12.740134954452515,0.42222156934440136,-1.0,-1.0,-1.0,0.42220329120755196,-1.0,4.338834583759308,6.514916010200977,544901952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.879393458366394,545000000.0,-1.0,10033085.46875,145.7898178100586,947799048.0,18271489.34375,2577305.53125,761580360.0,-1.0,-1.0,-1.0,67657531.0,9882455.34375,1398464925.2382812,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.06,0.547985200371061,26.087649209158762,0.09964110755494661,7.6085205078125,0.36589632289750235,-1.0,-1.0,-1.0,0.3977881499699184,-1.0,2.593869754246303,0.1804186999797821,544970980.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.63460220609393,545000000.0,-1.0,7386825.285714285,101.06731741768974,585596393.1428572,12921208.714285715,1545810.642857143,446584320.0,-1.0,-1.0,-1.0,43221894.28571428,7189646.428571428,738584636.8950893,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.07,0.39079667148845537,24.649290902273997,0.0038029326658163567,7.812201636178154,0.46168679744005203,-1.0,-1.0,-1.0,0.3975799764905657,-1.0,2.760519572666713,0.11224006755011422,544966299.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.604582105364116,545000000.0,-1.0,8024762.142857143,51.592376708984375,993628566.8571428,14097197.14732143,2075078.5,882921965.7142857,-1.0,-1.0,-1.0,52165570.85714286,7862096.361607143,991531870.4598215,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.08,0.853676574570792,17.711007799421036,0.33999754169157576,14.823561804635185,0.2940415157271283,-1.0,-1.0,-1.0,0.45296490085976465,-1.0,2.6666938236781528,26.58067778178624,544881627.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.86941146850586,545000000.0,-1.0,10481450.169642856,256.3640790666853,960960914.2857143,20651761.77455357,2222960.8253348214,768124440.0,-1.0,-1.0,-1.0,67974608.0,10867706.77455357,1323842646.1049106,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.09,11.118221717221397,25.315180486866407,0.2684251487787281,11.007386071341378,0.28836975353104727,-1.0,-1.0,-1.0,1.77244223015649,-1.0,4.3759758813040595,10.96465220621654,544866843.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.623570101601736,545000000.0,-1.0,11161612.68422154,318.1325378417969,975581685.2382812,20394440.07979911,22908333.035714287,738106294.8571428,-1.0,-1.0,-1.0,71293848.0,11127010.37388393,1322066533.9486606,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.1,8.36322808265686,31.845287958780926,0.11622499426205951,12.865846633911133,0.4492998979985714,-1.0,-1.0,-1.0,1.5338745415210724,-1.0,3.3110338151454926,30.00940615932147,544831114.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.49614214897156,545000000.0,-1.0,11445641.583984375,311.07654825846356,977852036.0,21198375.526692707,2406346.5833333335,763673536.0,-1.0,-1.0,-1.0,73091847.5188802,11505062.155598959,1339055042.2421875,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.11,0.7724632535661969,19.65374047415597,0.12145432111408028,11.012451716831752,0.3702988405046718,-1.0,-1.0,-1.0,1.3660010014261519,-1.0,3.1614560740334645,10.988434646810804,544858569.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.79179859161377,545000000.0,-1.0,10555476.877999442,282.6700962611607,917595209.1428572,19419501.828962054,20747096.17857143,690765622.8571428,-1.0,-1.0,-1.0,70000264.33370535,10584899.564174106,1238651831.9151785,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.12,9.500586912035942,28.41234254837036,0.030974645575042786,9.705230474472046,0.3687424100935459,-1.0,-1.0,-1.0,5.346210405230522,-1.0,61.830409824848175,8.533326029777527,544902216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.60210381448269,545000000.0,-1.0,10027614.664276123,181.66159439086914,832971872.375,18301322.760986328,2196564.46875,652462096.0,-1.0,-1.0,-1.0,64008130.94091797,9986795.991699219,1145116014.4179688,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.13,0.6354169845581055,19.957716260637557,0.07991264228309902,10.878290721348353,0.45636237944875446,-1.0,-1.0,-1.0,0.40819501876831055,-1.0,3.3404632295881,7.855642693383353,544904292.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.90216827392578,545000000.0,-1.0,11986457.42857143,208.73707362583704,975571177.1785715,21949489.14285714,2375176.6071428573,771798016.0,-1.0,-1.0,-1.0,76051592.0,11967790.714285715,1338756341.127232,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.14,0.6113448483603341,15.139213562011719,0.037039904589099525,6.786134447370257,0.30389590854091303,-1.0,-1.0,-1.0,1.209431426865714,-1.0,2.1269746848515103,0.08807575702667236,545012589.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.38137202603476,545000000.0,-1.0,9017100.480503628,97.12542288643974,674597816.2142857,16298548.499860492,1778999.857142857,528249435.4285714,-1.0,-1.0,-1.0,56268567.68805803,8955748.123325894,886756284.953125,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.15,0.7908545732498169,20.087069375174387,0.09269682211535317,7.58403205871582,0.3769735512988908,-1.0,-1.0,-1.0,1.3862370082310267,-1.0,2.6651107583727156,8.775574343545097,544913801.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.058131030627656,545000000.0,-1.0,8945868.606445312,147.49407523018974,647066474.0,18193858.906947546,1281092.7857142857,506631168.0,-1.0,-1.0,-1.0,51848373.131696425,9556388.22767857,763004004.0558035,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.16,0.8576130143233708,16.756664276123047,0.1665872298181057,11.494290215628487,0.4785302656569651,-1.0,-1.0,-1.0,1.3284544348716736,-1.0,4.577467679977417,0.6061202968869891,544898294.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.71046304702759,545000000.0,-1.0,7679261.860142299,202.3878914969308,720401369.1428572,13555581.87360491,24216053.35714286,529264457.14285713,-1.0,-1.0,-1.0,51194091.4765625,7556669.01953125,980113253.6205357,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.17,0.6285578693662371,10.823107583182198,0.0063311955226319,10.896841321672712,0.3184568738298757,-1.0,-1.0,-1.0,0.3987111874989101,-1.0,3.1119231496538435,0.6061202968869891,544991597.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.7480024610247,545000000.0,-1.0,7305110.357142857,202.3878914969308,764180644.5714285,13709840.714285715,1778485.0,647929728.0,-1.0,-1.0,-1.0,50458237.14285714,7210405.357142857,1232797877.9732144,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.18,0.803623303771019,18.33685874938965,0.17225191940087822,12.717169284820557,0.48241413570940495,-1.0,-1.0,-1.0,0.49609001725912094,-1.0,3.263312876224518,14.834571070969105,544880664.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.37703776359558,545000000.0,-1.0,9711751.875,254.92847442626953,823737120.0,17767006.875,2107906.59375,645809072.0,-1.0,-1.0,-1.0,61844002.75,9682263.3125,1141969312.5976562,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.19,0.9377204279104868,21.057544072469074,0.3991412452111642,12.629386266072592,0.38135776420434314,-1.0,-1.0,-1.0,0.5240123172601064,-1.0,3.176077127456665,16.93327295780182,545084074.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.896769523620605,545000000.0,-1.0,9752771.5,285.3781382242839,870583466.6666666,19473945.666666668,1971108.5,683777312.0,-1.0,-1.0,-1.0,64481470.666666664,10245849.333333334,1159769339.2786458,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.2,3.7900363973208835,25.01401710510254,0.06526778398879934,10.914931978498187,0.3594740144908428,-1.0,-1.0,-1.0,0.9376360774040222,-1.0,3.612741674695696,15.39198386669159,544839625.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.975979396275115,545000000.0,-1.0,9746542.121651785,286.0006365094866,886999062.8571428,19239177.112723213,1735869.75,700731446.8571428,-1.0,-1.0,-1.0,62553867.024553575,10123551.13392857,1218360672.658482,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.21,3.8831347141947066,31.57344382149833,0.029826228972524387,15.233701433454243,0.4253461126770292,-1.0,-1.0,-1.0,0.9785804356049214,-1.0,2.914956654821123,0.17147794365882874,544945984.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.51449659892491,545000000.0,-1.0,9811602.448242188,95.05955287388393,906044200.0,19315784.877511162,2043692.232142857,722799757.7142857,-1.0,-1.0,-1.0,64193940.233258925,10155941.815569196,1270503688.1830356,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
