Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,14.250262260437012,10.2200927734375,0.6872245073318481,0.6476891040802002,28.539092472621373,19.59573745727539,22.42608070373535,0.0045934449881315,6.206126689910889,6.910810470581055,20.034889221191406,5.450554847717285,24.67321586608887,0.3267835974693298,0.10556089133024214,16.59606170654297,68.95770263671875,160.71572875976562,0.1313769370317459,0.08724750578403473,3.496043920516968,12.032289241041456,545039552.0,0.8762422800064087,3.409616470336914,31176527872.0,37848453120.0,2645230336.0,52745986048.0,680729664.0,82.36501455307007,545000000.0,0.061656177043914774,1027996.0,307.4422520228795,269895552.0,1041476.875,305127.25,242997024.0,0.256211131811142,0.6892879009246826,156377056.0,7554529.5,540219.875,606915858.8261719,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.01,24.952057429722377,17.905085972377233,0.6872245073318481,0.84755834857268,28.539092472621373,33.1848145212446,26.472219467163086,0.2772919546280589,7.021266256059919,11.365596498761859,34.41950675419399,9.378023798976626,40.84043230329241,16.302425180162704,0.200616540653365,27.52285930088588,87.17183903285435,150.79220363071985,0.5293652841023037,0.1710250973701477,4.177777494703021,12.032289241041456,544845668.5714285,1.5067406041281564,3.2059434056282043,82964238921.14285,105674864347.42857,7363183323.428572,143164852516.57144,1854321115.4285715,51.1945629460471,545000000.0,0.11532234719821385,13351742.714285715,307.4422520228795,1006659168.7929688,22031024.0,2812848.75,775663305.1428572,0.4498776538031442,0.47406342199870516,1979914861.7142856,87656525.71428572,12476477.285714285,1342425669.154018,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.02,32.00029754638672,18.13686752319336,9.579623631068639,0.8808284010738134,29.910397665841238,42.82367951529367,31.11486026218959,0.299824308604002,7.563056801046644,11.297944750104632,40.819137437003,10.236871495842934,55.228965759277344,16.199605805533274,0.2672365664371422,39.07221276419504,85.6055439540318,307.0794110979353,0.5570064591509954,0.17515741075788224,4.033470358167376,17.255643968071258,544839405.7142857,1.706606490271432,3.025742845875876,84262999259.42857,107419962733.71428,7477897225.142858,145450879707.42856,1884589451.4285715,40.86797506468637,545000000.0,0.15329536582742417,13620709.793526785,314.3583199637277,1026604220.3571428,22496504.446289062,2807900.6071428573,790931017.1428572,0.5376979112625122,0.400188148021698,2021513801.142857,89359549.71428572,12737364.446289062,1355040366.203125,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.03,24.951310838971818,17.905832018171036,9.579623631068639,0.8771524463913271,29.85532133919852,33.25879750932966,28.83881446293422,0.034752162173390375,7.8187776293073386,11.13265882219587,34.502043860299246,9.41841235756874,40.93564823695591,16.20720911026001,0.2213026796068464,27.522417340959823,85.46846226283482,133.71330915178572,0.5448726756232125,0.1712507392678942,4.158378396715436,10.165696833814893,544869888.0,1.5067198276519775,3.0109336163316454,83639746560.0,106611469750.85715,7416232082.285714,144361708397.7143,1871697042.2857144,37.38359586867903,545000000.0,0.11505427743707382,13421277.285714285,307.07102748325894,1015701381.2179129,22187519.14285714,2773519.035714286,782986276.5714285,0.4498636041368757,0.39535932881491526,1997612562.2857144,87771531.42857143,12555046.57142857,1350309672.8549106,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.04,21.734322547912598,15.765676975250244,9.579623631068639,9.67487773601897,33.66703090816736,29.03786540031433,23.150938287377357,0.009504548175755162,6.212521910667419,8.385937690734863,30.118505358695984,8.205782424658537,35.73179244995117,14.268207758665085,0.23078107461333275,23.972111225128174,82.9402723312378,128.63405227661133,1.5264806970953941,0.1492878906428814,4.000146448612213,21.2147029414773,544823944.0,1.3121439814567566,3.148771122097969,73368078336.0,93533452288.0,6504199808.0,126639003648.0,1648776992.0,45.43579789996147,545000000.0,0.10248932987451553,11786349.36114502,315.7907829284668,1288419846.25,19414292.75830078,2485919.6875,1067574240.0,0.3935370445251465,0.48973591998219496,1747898880.0,77949358.0,11006600.506347656,1211475987.0507812,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.05,24.917323521205358,17.98289598737444,0.14224553959710257,0.9395080669117826,25.515592575073242,33.162516593933105,33.793003695351736,0.4341739666249071,9.348271097455706,11.31100572858538,34.42976093292236,9.392207135047231,40.84353419712612,16.299322162355697,0.29329522592680796,27.496063777378627,96.87756020682198,161.3953617640904,0.525159912449973,0.17117777466773987,5.002835954938616,13.486431181430818,544937078.8571428,1.5048418385641915,3.651733568736485,83791284516.57143,106766626230.85715,7432445366.857142,144607037732.57144,1874370706.2857144,53.43387450490679,545000000.0,0.11557268670627048,13450683.285714285,154.23223440987724,1012588822.8571428,22151439.85714286,2784941.3928571427,784383597.7142857,0.4508636508669172,0.561700735773359,1995037257.142857,89029238.85714285,12545691.42857143,1352732414.4620535,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.06,17.15685490199498,11.414574214390345,0.14224553959710257,0.5998125621782882,23.756467001778738,22.155407905578613,19.11720895767212,0.3409279055735429,5.064859526497977,7.102328981672015,22.959495476314,6.108592816761562,27.128644670758927,15.728498833520073,0.14821036798613413,18.05804988316127,63.79783957345145,96.25118146623883,0.38081867354256765,0.11420639072145734,3.287189074925014,13.779750227928162,544879698.2857143,0.9697180475507464,2.188003020627158,61746874660.57143,79503430217.14285,5404346221.714286,106902936429.71428,1406812891.4285715,63.25372658457075,545000000.0,0.0798111387661525,11260661.285714285,260.75328281947543,789487488.0,17921947.14285714,2521922.5,592036955.4285715,0.2991561549050467,0.32467587079320637,1597715401.142857,73825187.42857143,10315800.42857143,988249798.5267857,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.07,15.345763615199498,13.593214852469307,14.285714285714286,0.5304392440510648,25.353161675589426,29.229537759508407,23.327931131635392,0.03968210145831107,5.961159024919782,8.006182534354073,23.70565095969609,6.62445747426578,41.21024758475168,15.932609762464251,0.2448027426643031,40.6879871913365,60.65640803745815,553.1339111328125,0.4382080946649824,0.13227359737668717,2.8859169823782787,18.705565980502538,544869019.4285715,1.4900994982038225,1.9797634822981698,49987754898.28571,63362563584.0,4810119781.142858,86479156187.42857,1067806144.0,53.909096649714876,545000000.0,0.11712021912847247,11593193.5234375,244.49652535574776,672079913.8571428,19541052.142717633,1639627.2857142857,519141705.14285713,0.3435149235384805,0.25570523738861084,1680902509.7142856,69227123.42857143,11073601.142717633,782523857.1294643,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.08,21.741958141326904,15.6929771900177,0.19769662618637085,0.8659749932121485,21.255175379104912,29.28983563184738,24.725715398788452,0.1674556790385395,6.698055744171143,9.668383836746216,30.484716773033142,8.301792845129967,35.915611267089844,14.084389314055443,0.2057757144793868,24.0627760887146,85.44443035125732,146.34861373901367,0.4536230340600014,0.14734574779868126,4.731943249702454,2.363641582429409,544873000.0,1.3087169826030731,3.314546212553978,73612380160.0,93344186368.0,6451890176.0,126736363520.0,1647475520.0,45.673160552978516,545000000.0,0.10072823427617549,11992965.8125,274.59598541259766,928720491.65625,19747510.625,22353337.3125,669796336.0,0.3930506557226181,0.4909054562449455,1770817392.0,77911112.0,11191804.375,1250147144.7304688,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
0.09,17.572265625,10.905724661690849,0.15030782563345774,0.7799763253756932,16.523812975202286,23.050508499145508,26.52915668487549,0.4268713231597628,7.0213503156389505,7.368039812360491,23.897439002990723,6.305111408233643,27.734212899713643,15.122929743358068,0.12122063777808631,18.18921388898577,75.06051744733539,136.25298200334822,0.37176878111703054,0.10169778551374163,4.641076837267194,7.364999498639789,544966125.7142857,0.9557176658085415,2.9232543195996965,56801785563.42857,72376277869.71428,4792664649.142858,97782590902.85715,1297053842.2857144,65.45261938231332,545000000.0,0.07312840010438645,9231193.714285715,99.68225969587054,637684045.7142857,13292816.142857144,2173043.4285714286,488906621.4285714,0.29922481945582796,0.4387406621660505,1155887140.5714285,65264676.571428575,7920327.428571428,941317052.1383928,1.119634985923767,1034.0,360.0,12045.0,6.0,37.4534912109375,2945.0,1382.0,3.0,44.0,47.0,53.0,41.0,63.0,30.0,90.0,456.0,2.0,34.07105505466461,1.166006326675415,2736.0,2.0,2.0,2.51794695854187
