Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,24.994510105678014,17.569978986467635,0.38802004924842287,0.7447876930236816,13.62965742605073,22.8046749659947,0.07695187122694083,6.3147894995553155,11.427104677472796,33.54276166643415,9.256448473249163,40.950369698660715,1.9067730733326502,0.3136711078030722,-1.0,84.10452924455915,182.53817313058036,0.3542817064693996,0.16442629269191197,3.684979030064174,7.678891701357706,544928310.8571428,1.4882706233433314,3.6765505245753696,-1.0,74465741092.57143,5210805686.857142,-1.0,1315716864.0,64.56710638318744,545000000.0,0.11344432617936814,6660121.428571428,180.13850620814733,682974124.4241072,11226787.57142857,1577132.892857143,545184841.1428572,0.4446605954851423,0.6524514981678554,1033988114.2857143,44323857.14285714,6214820.0,1053127338.3415178,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.01,24.994510105678014,17.569978986467635,0.38802004924842287,0.7447876930236816,13.62965742605073,22.8046749659947,0.07695187122694083,6.3147894995553155,11.427104677472796,33.54276166643415,9.256448473249163,40.950369698660715,1.9067730733326502,0.3136711078030722,-1.0,84.10452924455915,182.53817313058036,0.3542817064693996,0.16442629269191197,3.684979030064174,7.678891701357706,544928310.8571428,1.4882706233433314,3.6765505245753696,-1.0,74465741092.57143,5210805686.857142,-1.0,1315716864.0,64.56710638318744,545000000.0,0.11344432617936814,6660121.428571428,180.13850620814733,682974124.4241072,11226787.57142857,1577132.892857143,545184841.1428572,0.4446605954851423,0.6524514981678554,1033988114.2857143,44323857.14285714,6214820.0,1053127338.3415178,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.03,24.994510105678014,17.569978986467635,0.38802004924842287,0.7447876930236816,13.62965742605073,22.8046749659947,0.07695187122694083,6.3147894995553155,11.427104677472796,33.54276166643415,9.256448473249163,40.950369698660715,1.9067730733326502,0.3136711078030722,-1.0,84.10452924455915,182.53817313058036,0.3542817064693996,0.16442629269191197,3.684979030064174,7.678891701357706,544928310.8571428,1.4882706233433314,3.6765505245753696,-1.0,74465741092.57143,5210805686.857142,-1.0,1315716864.0,64.56710638318744,545000000.0,0.11344432617936814,6660121.428571428,180.13850620814733,682974124.4241072,11226787.57142857,1577132.892857143,545184841.1428572,0.4446605954851423,0.6524514981678554,1033988114.2857143,44323857.14285714,6214820.0,1053127338.3415178,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.04,16.612124306815012,11.95930426461356,0.38802004924842287,10.780187819685255,34.85839189801897,21.909345081874303,0.026827866211533526,5.8297898428780695,6.000386919294085,24.647288731166295,6.817822252001081,26.87179238455636,15.985350063868932,0.2811849693368588,-1.0,65.93363952636719,91.22898646763393,1.6957569207463945,0.10643258690834045,2.91743734904698,9.802719950675964,544908653.7142857,0.9916798727852958,2.3560070991516113,-1.0,65489822866.28571,4514136064.0,-1.0,1158911488.0,50.40052195957729,545000000.0,0.07445643203599113,8377767.331124442,193.01817539760046,1025372601.1428572,15685839.63783482,1482726.892857143,852257334.8571428,0.2995610237121582,0.22246176855904715,1416097243.4285715,58336408.0,8651986.77734375,857209343.4977678,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.05,24.92307553972517,17.93406731741769,0.38802004924842287,0.9836238282067434,27.690304619925364,36.35826914651053,0.05665729620626993,10.248472486223493,11.306375776018415,34.92887020111084,9.517572786126818,41.21256801060268,15.930289030075073,0.4264236901487623,-1.0,90.56601388113839,149.44881330217635,0.513114435332162,0.17048178826059615,4.710792303085327,0.09123026473181588,544982939.4285715,1.5059779030936105,3.407469000135149,-1.0,98494009929.14285,6833270491.428572,-1.0,1731230098.2857144,53.79619986670358,545000000.0,0.115010529756546,9256308.142857144,41.25341796875,896817888.0,15951340.0,1893682.2142857143,724275072.0,0.44882871423448834,0.546830245426723,1502809142.857143,58201144.571428575,8748084.92857143,1237507170.1763394,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.06,33.254060472760884,23.653156280517578,0.6311991555350167,0.9255933463573456,27.327636991228378,44.414775712149485,0.06222383751134784,12.033187593732562,15.269167218889509,44.41193716866629,12.347388131277901,54.03599984305246,3.1068568910871233,0.46827618072607685,-1.0,89.04620470319476,219.84795488630022,0.5421151689120701,0.22198427149227684,3.7627697672162737,0.17203365053449357,544968109.7142857,1.9912736756461007,3.1661575521741594,-1.0,100032438272.0,6967676708.571428,-1.0,1755452763.4285715,41.93782527106149,545000000.0,0.15217991811888557,10433598.285714285,96.82589285714286,924050198.8571428,19047890.012137275,1844195.9285714286,734443721.1428572,0.5952204040118626,0.4234580844640732,1742940452.5714285,68764220.57142857,10355997.369280133,1259150341.0357144,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.07,36.27385003226144,17.966759272984095,4.118851252964565,0.8578730310712542,29.887198311941965,43.83528402873448,0.03562842961400746,11.067962714603969,13.585945674351283,43.378937925611226,10.609491224799838,55.19508579799107,16.233485460281372,0.29367666744760107,-1.0,87.26242501395089,255.20713588169642,0.5477919269885335,0.1813652403652668,3.7540035247802734,0.06136936800820487,544941092.5714285,1.6832996606826782,3.0407460629940033,-1.0,103397681444.57143,7194169284.571428,-1.0,1814845188.5714285,44.84842688696725,545000000.0,0.15188349144799368,10857956.575892856,100.82080078125,956023520.0,19835197.785853796,2113871.8571428573,759677594.8571428,0.5601201227733067,0.4016984360558646,1814428032.0,72562279.42857143,10787299.500139508,1288762991.779018,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.08,24.924762180873326,17.93238067626953,4.118851252964565,0.8336325713566373,15.602175031389509,36.72777870723179,0.574416019554649,10.802223214081355,11.352971758161273,33.68584442138672,9.416643142700195,40.96485573904855,1.8922879695892334,0.37646320036479397,-1.0,71.44276210239956,133.77349417550224,0.441390906061445,0.1713603777544839,2.9182136399405345,0.06294583422797066,544980489.1428572,1.5058907781328474,2.9938762528555736,-1.0,109026815414.85715,7584457581.714286,-1.0,1914573577.142857,60.50793375287737,545000000.0,0.16477654022829874,9942084.285714285,53.088243756975444,954326118.7142857,19608603.86997768,1886101.5,800056173.7142857,0.45139130524226606,0.4017569507871355,1783678902.857143,70296885.71428572,10252387.584263394,1338656867.482143,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.09,34.41098894391741,18.319789886474613,6.277237483433315,0.8449631418500628,29.976558685302734,41.90882900782994,0.21159714673246657,11.100543635232109,11.914472341537476,43.006813526153564,10.57808872631618,55.212385995047434,16.216185774121964,0.3231010447655405,-1.0,87.26677921840123,315.8463570731027,0.5528590024581977,0.1781036028904574,3.738044806889125,0.17779346874782018,544932196.5714285,1.6911923033850533,3.0408929841859,-1.0,107886227309.71428,7514533856.0,-1.0,1892526651.4285715,30.737378086362565,545000000.0,0.15039397137505667,11212332.388392856,101.90529959542411,993386347.5089285,20495127.970563617,2384754.535714286,791546508.7857143,0.5361195717539106,0.40176006725856234,1874490084.5714285,74437910.85714285,11133138.184849331,1352361706.8549106,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
0.1,24.927256447928293,17.929886409214564,6.277237483433315,0.8458792652402606,29.874056679861887,36.44936316353934,0.08526358740138154,9.771254130772181,11.510921205793109,34.86287668773106,9.493502553020205,40.9487064906529,16.194151367459977,0.43905644617708667,-1.0,87.26559012276786,134.47289167131697,0.5440195117677961,0.17048017042023794,3.749387468610491,0.1505012469632285,544970212.5714285,1.5058281081063407,3.039817124605179,-1.0,103152025600.0,7169244745.142858,-1.0,1811988553.142857,39.70499178341457,545000000.0,0.11519773730209895,10781711.142857144,99.22841971261161,953224237.7142857,19653704.0327846,2206608.535714286,756516626.2857143,0.4488663503101894,0.40162523303713116,1797859849.142857,71662076.0,10690752.747070312,1299047255.767857,1.1091055870056152,116.0,2.0,6330.0,1.0,22.83596611022949,2402.0,2361.0,3.0,42.0,38.0,46.0,50.0,27.0,36.0,90.0,545.0,2.0,33.73657464981079,3196.0,3.0,2.511676788330078
