Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.23,15.020809173583984,26.44084930419922,0.5589166879653931,23.744274139404297,-1.0,1616326912.0,-1.0,1710285312.0,10516955.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.23,15.020809173583984,26.44084930419922,0.5589166879653931,23.744274139404297,-1.0,1616326912.0,-1.0,1710285312.0,10516955.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.33,15.284863471984863,26.038270950317383,0.600716233253479,26.53854751586914,-1.0,1658360960.0,-1.0,1746893312.0,10708442.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.43,14.927841186523438,26.46710586547852,0.5987876057624817,22.180744171142575,-1.0,1621976704.0,-1.0,1701391488.0,10424585.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.53,14.63797378540039,25.915115356445312,0.5569620132446289,22.78696823120117,-1.0,1619700736.0,-1.0,1702557952.0,10431849.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.63,17.539854049682617,25.196332931518555,0.6727339029312134,6.561897277832031,-1.0,1620164992.0,-1.0,1702952448.0,10426613.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.73,15.124302864074709,26.163423538208008,0.6033512949943542,17.814180374145508,-1.0,1606978688.0,-1.0,1689860480.0,10349893.0,1.051217794418335,1125.0,451.0,12250.0,6.0,25.65871810913086,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.79,15.124302864074709,26.163423538208008,0.6033512949943542,17.814180374145508,-1.0,1606978688.0,-1.0,1689860480.0,10349893.0,0.6003215163946152,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.83,15.422739028930664,25.78902053833008,0.619455873966217,15.890591621398926,-1.0,1612621696.0,-1.0,1694602240.0,10379206.0,0.6003215163946152,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
0.93,14.87056827545166,26.353227615356445,0.6363288164138794,20.970064163208008,-1.0,1619441152.0,-1.0,1701849344.0,10425301.0,0.6003215163946152,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,41.0,41.0,60.0,31.0,32.0,90.0,545.0,2.0,36.36104166507721,3196.0,1.5,2.5336387157440186
1.0,14.87056827545166,26.353227615356445,0.6363288164138794,20.970064163208008,-1.0,1619441152.0,-1.0,1701849344.0,10425301.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.03,15.00613021850586,25.87326431274414,0.5671717524528503,23.9680290222168,-1.0,1621317120.0,-1.0,1702907648.0,10433546.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.13,15.169401168823242,25.81942367553711,0.5463606715202332,23.08268928527832,-1.0,1621304576.0,-1.0,1702894720.0,10432673.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.24,15.059388160705566,26.48045921325684,0.5880011320114136,7.716267108917236,-1.0,1620756864.0,-1.0,1703180416.0,10430729.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.34,15.865361213684082,25.862754821777344,0.639512836933136,6.622681140899658,-1.0,1621218944.0,-1.0,1703370112.0,10428887.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
