Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.4372439384460449,7.777875900268555,0.004832608159631475,7.140661716461182,0.22389045357704163,-1.0,-1.0,-1.0,0.25874486565589905,-1.0,1.666538953781128,8.682494725499835,544992800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.77411031723022,545000000.0,-1.0,3575701.5,205.13404628208704,369252960.0,7050270.5,463758.96875,311499840.0,-1.0,-1.0,-1.0,24669962.0,3700777.75,581690539.9375,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.01,1.1868694850376673,30.455522264753068,0.042527847975309514,15.293995176042829,0.5058796661240714,-1.0,-1.0,-1.0,0.5679618354354586,-1.0,4.884981291634696,8.682494725499835,544886509.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.66460871696472,545000000.0,-1.0,10766352.107142856,205.13404628208704,962216724.5714285,19479528.18526786,1859356.9151785714,758012658.2857143,-1.0,-1.0,-1.0,71532586.56696428,10638145.540736606,1307862667.044643,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.02,1.1126419603824615,27.1925311088562,0.03026594955008475,13.315467834472656,0.4318716023117304,-1.0,-1.0,-1.0,0.5515951067209244,-1.0,5.049886465072632,20.32267964631319,544878472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.05161115527153,545000000.0,-1.0,10041005.0625,281.38268661499023,897465360.0,18336174.15625,2067755.1875,705064140.0,-1.0,-1.0,-1.0,66716978.0,9993272.78125,1210055866.4257812,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.03,0.8830663306372506,29.940101623535156,0.05194783210754393,12.755655288696289,0.38681873785597937,-1.0,-1.0,-1.0,0.553133594670466,-1.0,3.735818726675851,7.816553899220058,546277069.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.484644992010935,545000000.0,-1.0,10168103.5625,193.23702130998885,918587610.2857143,18594770.084123883,2082139.392857143,726101401.7142857,-1.0,-1.0,-1.0,67468057.71428572,10108880.869838169,1243735902.1026785,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.04,0.7904376486937205,24.55071036020915,0.012943167627478616,8.850338300069174,0.33097299685080844,-1.0,-1.0,-1.0,0.5008410016695658,-1.0,3.3191467920939126,19.473003556330998,544869898.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.694364070892334,545000000.0,-1.0,9102232.5,274.9120686848958,772070051.9583334,16514076.579915365,1913469.3333333333,599243145.6666666,-1.0,-1.0,-1.0,60622688.0,9075411.246582031,1098546900.1067708,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.05,0.8801158326012748,29.835623059953964,0.0943839145558221,11.23902348109654,0.42097403747694834,-1.0,-1.0,-1.0,0.5454556686537607,-1.0,3.7870731353759766,13.95228007861546,544853202.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.71607198034014,545000000.0,-1.0,10794315.857142856,308.0671125139509,969185500.5714285,19597785.57142857,2446760.214285714,760403766.8571428,-1.0,-1.0,-1.0,72554837.71428572,10703178.642857144,1310610167.9107144,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.06,0.8686351265226092,16.417289188929967,0.005064604404781528,11.945588520595006,0.18187107119177068,-1.0,-1.0,-1.0,0.3990028841154916,-1.0,4.2091080120631625,9.100164873259407,544879597.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.820282323019846,545000000.0,-1.0,8685688.5,206.01661900111608,739364214.8571428,15429829.714285715,1873577.392857143,567761426.2857143,-1.0,-1.0,-1.0,57625956.571428575,8520935.0,942088410.1138393,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.07,0.6928928579602923,20.90416990007673,0.0192157168473516,11.068228040422712,0.3036962832723345,-1.0,-1.0,-1.0,0.4374583959579468,-1.0,2.4690662111554826,7.9921403016362875,545008502.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.37454915046692,545000000.0,-1.0,9882265.285714285,210.49541364397322,1081197768.2410715,18427486.285714287,1447505.607142857,909107625.1428572,-1.0,-1.0,-1.0,56598204.571428575,10074255.42857143,845912158.9910715,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.08,1.067416489124298,28.680110931396484,0.028946511883987086,9.85779356956482,0.5067945474293083,-1.0,-1.0,-1.0,0.5737240612506866,-1.0,5.215409100055695,0.15463782474398613,544863296.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.99687033891678,545000000.0,-1.0,9737983.9375,89.91344451904297,850366137.0,17215123.3125,1764664.96875,664169456.0,-1.0,-1.0,-1.0,64999257.0,9378929.1875,1174288995.4941406,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
0.09,0.678944604737418,18.785011104175023,0.004111183940299914,7.579014641898019,0.5027903576514551,-1.0,-1.0,-1.0,0.9346279927662441,-1.0,6.218984603881836,0.18144769753728593,544973275.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.83049988746643,545000000.0,-1.0,5288584.928571428,100.05544172014508,689284937.7441406,9887327.57142857,1664893.6964285714,548369773.7142857,-1.0,-1.0,-1.0,52299464.0,5529562.214285715,978690618.8035715,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2950.0,1920.0,3.0,44.0,41.0,47.0,61.0,25.0,44.0,90.0,545.0,2.0,33.86974334716797,3196.0,3.0,2.555612087249756
