filepath,filename,room_type,scan_type,trial_number,num_rows,folder
meta_scan_csvs\cleaned\blinds\blinds_1_cleaned.csv,blinds_1_cleaned.csv,blinds,base,1,2184,blinds
meta_scan_csvs\cleaned\blinds\blinds_2_cleaned.csv,blinds_2_cleaned.csv,blinds,base,2,2060,blinds
meta_scan_csvs\cleaned\blinds\blinds_3_cleaned.csv,blinds_3_cleaned.csv,blinds,base,3,1919,blinds
meta_scan_csvs\cleaned\blinds\blinds_4_cleaned.csv,blinds_4_cleaned.csv,blinds,base,4,449,blinds
meta_scan_csvs\cleaned\blinds\blinds_5_cleaned.csv,blinds_5_cleaned.csv,blinds,base,5,427,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_1_cleaned.csv,blinds_motion_1_cleaned.csv,blinds,motion,1,2004,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_2_cleaned.csv,blinds_motion_2_cleaned.csv,blinds,motion,2,452,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_3_cleaned.csv,blinds_motion_3_cleaned.csv,blinds,motion,3,464,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_4_cleaned.csv,blinds_motion_4_cleaned.csv,blinds,motion,4,436,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_5_cleaned.csv,blinds_motion_5_cleaned.csv,blinds,motion,5,477,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_1_cleaned.csv,blinds_object_1_cleaned.csv,blinds,object,1,2044,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_2_cleaned.csv,blinds_object_2_cleaned.csv,blinds,object,2,443,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_3_cleaned.csv,blinds_object_3_cleaned.csv,blinds,object,3,443,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_4_cleaned.csv,blinds_object_4_cleaned.csv,blinds,object,4,455,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_5_cleaned.csv,blinds_object_5_cleaned.csv,blinds,object,5,2036,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_1_cleaned.csv,blinds_person_1_cleaned.csv,blinds,person,1,466,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_2_cleaned.csv,blinds_person_2_cleaned.csv,blinds,person,2,446,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_3_cleaned.csv,blinds_person_3_cleaned.csv,blinds,person,3,477,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_4_cleaned.csv,blinds_person_4_cleaned.csv,blinds,person,4,482,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_5_cleaned.csv,blinds_person_5_cleaned.csv,blinds,person,5,449,blinds
meta_scan_csvs\cleaned\blinds_up\blinds_up_1_cleaned.csv,blinds_up_1_cleaned.csv,blinds_up,base,1,103,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_2_cleaned.csv,blinds_up_2_cleaned.csv,blinds_up,base,2,1775,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_3_cleaned.csv,blinds_up_3_cleaned.csv,blinds_up,base,3,1795,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_4_cleaned.csv,blinds_up_4_cleaned.csv,blinds_up,base,4,1798,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_5_cleaned.csv,blinds_up_5_cleaned.csv,blinds_up,base,5,101,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_1_cleaned.csv,blinds_up_motion_1_cleaned.csv,blinds_up,motion,1,467,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_2_cleaned.csv,blinds_up_motion_2_cleaned.csv,blinds_up,motion,2,2094,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_3_cleaned.csv,blinds_up_motion_3_cleaned.csv,blinds_up,motion,3,472,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_4_cleaned.csv,blinds_up_motion_4_cleaned.csv,blinds_up,motion,4,2005,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_5_cleaned.csv,blinds_up_motion_5_cleaned.csv,blinds_up,motion,5,2109,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_1_cleaned.csv,blinds_up_object_1_cleaned.csv,blinds_up,object,1,1946,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_2_cleaned.csv,blinds_up_object_2_cleaned.csv,blinds_up,object,2,1981,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_3_cleaned.csv,blinds_up_object_3_cleaned.csv,blinds_up,object,3,2013,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_4_cleaned.csv,blinds_up_object_4_cleaned.csv,blinds_up,object,4,473,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_5_cleaned.csv,blinds_up_object_5_cleaned.csv,blinds_up,object,5,2079,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_1_cleaned.csv,blinds_up_person_1_cleaned.csv,blinds_up,person,1,2042,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_2_cleaned.csv,blinds_up_person_2_cleaned.csv,blinds_up,person,2,1979,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_3_cleaned.csv,blinds_up_person_3_cleaned.csv,blinds_up,person,3,493,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_4_cleaned.csv,blinds_up_person_4_cleaned.csv,blinds_up,person,4,425,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_5_cleaned.csv,blinds_up_person_5_cleaned.csv,blinds_up,person,5,461,blinds_up
meta_scan_csvs\cleaned\hallway\hallway_1_cleaned.csv,hallway_1_cleaned.csv,hallway,base,1,409,hallway
meta_scan_csvs\cleaned\hallway\hallway_2_cleaned.csv,hallway_2_cleaned.csv,hallway,base,2,407,hallway
meta_scan_csvs\cleaned\hallway\hallway_3_cleaned.csv,hallway_3_cleaned.csv,hallway,base,3,457,hallway
meta_scan_csvs\cleaned\hallway\hallway_4_cleaned.csv,hallway_4_cleaned.csv,hallway,base,4,438,hallway
meta_scan_csvs\cleaned\hallway\hallway_5_cleaned.csv,hallway_5_cleaned.csv,hallway,base,5,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_1_cleaned.csv,hallway_motion_1_cleaned.csv,hallway,motion,1,467,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_2_cleaned.csv,hallway_motion_2_cleaned.csv,hallway,motion,2,482,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_3_cleaned.csv,hallway_motion_3_cleaned.csv,hallway,motion,3,449,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_4_cleaned.csv,hallway_motion_4_cleaned.csv,hallway,motion,4,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_5_cleaned.csv,hallway_motion_5_cleaned.csv,hallway,motion,5,458,hallway
