ts,value,counter_name,t_s
182535924393078,545051328.0,Clocks / Second,0.0
182535924398703,29.670289993286133,GPU % Bus Busy,5.625e-06
182535924401568,1.3778098821640015,% Vertex Fetch Stall,8.49e-06
182535924403495,26.145723342895508,% Texture Fetch Stall,1.0417e-05
182535924406984,0.26346203684806824,L1 Texture Cache Miss Per Pixel,1.3906e-05
182535924409276,22.261005401611328,% Texture L2 Miss,1.6198e-05
182535924412089,2.856753349304199,% Stalled on System Memory,1.9011e-05
182535924414120,31544928.0,Pre-clipped Polygons/Second,2.1042e-05
182535924415995,51.807735443115234,% Prims Trivially Rejected,2.2917e-05
182535924418078,1.5185753107070923,% Prims Clipped,2.5e-05
182535924421255,1.0362504720687866,Average Vertices / Polygon,2.8177e-05
182535924423547,61989832.0,Reused Vertices / Second,3.0469e-05
182535924425474,318.2674865722656,Average Polygon Area,3.2396e-05
182535924427557,0.0,% Shaders Busy,3.4479e-05
182535924430214,32688448.0,Vertices Shaded / Second,3.7136e-05
182535924432609,4699175936.0,Fragments Shaded / Second,3.9531e-05
182535924434641,5110029312.0,Vertex Instructions / Second,4.1563e-05
182535924436880,275284557824.0,Fragment Instructions / Second,4.3802e-05
182535924438755,139367301120.0,Fragment ALU Instructions / Sec (Full),4.5677e-05
182535924440839,241197629440.0,Fragment ALU Instructions / Sec (Half),4.7761e-05
182535924442818,15318429696.0,Fragment EFU Instructions / Second,4.974e-05
182535924444797,0.6292018294334412,Textures / Vertex,5.1719e-05
182535924446984,-1.0,Textures / Fragment,5.3906e-05
182535924449172,150.419677734375,ALU / Vertex,5.6094e-05
182535924451203,48.2274284362793,ALU / Fragment,5.8125e-05
182535924452870,2.841787576675415,EFU / Fragment,5.9792e-05
182535924539745,5.9055681228637695,EFU / Vertex,0.000146667
182535924546307,0.0,% Time Shading Fragments,0.000153229
182535924556047,0.0,% Time Shading Vertices,0.000162969
182535924558547,0.0,% Time Compute,0.000165469
182535924561411,0.0,% Shader ALU Capacity Utilized,0.000168333
182535924564016,0.0,% Time ALUs Working,0.000170938
182535924566255,0.0,% Time EFUs Working,0.000173177
182535924570943,0.0,% Nearest Filtered,0.000177865
182535924572974,0.0,% Linear Filtered,0.000179896
182535924575109,0.0,% Anisotropic Filtered,0.000182031
182535924577245,0.0,% Non-Base Level Textures,0.000184167
182535924579432,2311132928.0,Read Total (Bytes/sec),0.000186354
182535924712557,2972834560.0,Write Total (Bytes/sec),0.000319479
182535924717141,1907241856.0,Texture Memory Read BW (Bytes/Second),0.000324063
182535924719641,190637200.0,Vertex Memory Read (Bytes/Second),0.000326563
182535924721828,5605839.5,SP Memory Read (Bytes/Second),0.00032875
182535924724328,0.35102903842926025,Avg Bytes / Fragment,0.00033125
182535924726516,5.831944465637207,Avg Bytes / Vertex,0.000333438
182535924728911,0.0,Preemptions / second,0.000335833
182535924731932,0.0,Avg Preemption Delay,0.000338854
182535924733859,545000000.0,GPU Frequency,0.000340781
182535926110422,545046464.0,Clocks / Second,0.001717344
182535926115578,28.6875057220459,GPU % Bus Busy,0.0017225
182535926116672,0.9981961250305176,% Vertex Fetch Stall,0.001723594
182535926117297,29.363950729370117,% Texture Fetch Stall,0.001724219
182535926118339,0.24363821744918823,L1 Texture Cache Miss Per Pixel,0.001725261
182535926118807,28.85273551940918,% Texture L2 Miss,0.001725729
182535926119224,0.02606632001698017,% Stalled on System Memory,0.001726146
182535926119693,15829658.0,Pre-clipped Polygons/Second,0.001726615
182535926120266,49.19542694091797,% Prims Trivially Rejected,0.001727188
182535926120735,0.9741339087486267,% Prims Clipped,0.001727657
182535926121464,1.035374641418457,Average Vertices / Polygon,0.001728386
182535926122037,31137240.0,Reused Vertices / Second,0.001728959
182535926122453,313.5279846191406,Average Polygon Area,0.001729375
182535926122974,0.0,% Shaders Busy,0.001729896
182535926123495,16389628.0,Vertices Shaded / Second,0.001730417
182535926124224,2457594624.0,Fragments Shaded / Second,0.001731146
182535926124797,2450930944.0,Vertex Instructions / Second,0.001731719
182535926125266,148277297152.0,Fragment Instructions / Second,0.001732188
182535926125735,74859667456.0,Fragment ALU Instructions / Sec (Full),0.001732657
182535926126151,128002646016.0,Fragment ALU Instructions / Sec (Half),0.001733073
182535926126620,9416298496.0,Fragment EFU Instructions / Second,0.001733542
