ts,value,counter_name,t_s
182063161685722,17.8238468170166,application_prediction_milliseconds,0.0
182063162010253,63.0,stale_frames_per_second,0.000324531
182063162014420,0.0,last_used_foveation_level,0.000328698
182063162017232,7.0,application_layer_count,0.00033151
182063162019732,12732.0,app_vss_mb,0.00033401
182063162022232,1120.0,app_rss_mb,0.00033651
182063162023899,467.0,app_uss_mb,0.000338177
182063162030878,2.2726855278015137,app_gpu_ms,0.000345156
182063162032805,72.0,display_refresh_rate,0.000347083
182063162037649,3.0,cpu_level,0.000351927
182063162048586,2.0,gpu_level,0.000362864
182063162050670,1920.0,cpu_frequency_mhz,0.000364948
182063162052701,545.0,gpu_frequency_mhz,0.000366979
182063162054472,2092.0,mem_frequency_mhz,0.00036875
182063162056086,2623.0,available_memory_mb,0.000370364
182063162058066,2.1951651573181152,timewarp_gpu_ms,0.000372344
182063162059993,0.0,guardian_gpu_ms,0.000374271
182063162061816,0.0,screen_tears_per_second,0.000376094
182063162063638,51.0,cpu_util_0,0.000377916
182063162065566,50.0,cpu_util_1,0.000379844
182063162067232,55.0,cpu_util_2,0.00038151
182063162068847,37.0,cpu_util_3,0.000383125
182063162070618,45.0,cpu_util_4,0.000384896
182063162072180,29.0,cpu_util_5,0.000386458
182063162073795,0.0,cpu_util_6,0.000388073
182063162075305,0.0,cpu_util_7,0.000389583
182063162077128,18.842455744743347,gpu_util,0.000391406
182063388444494,0.0,application_prediction_milliseconds,0.226758772
182063388561786,0.0,stale_frames_per_second,0.226876064
182063388564703,0.0,last_used_foveation_level,0.226878981
182063388566942,1.0,application_layer_count,0.22688122
182063388568974,6313.0,app_vss_mb,0.226883252
182063388571057,102.0,app_rss_mb,0.226885335
182063388572671,2.0,app_uss_mb,0.226886949
182063388574130,0.294620543718338,app_gpu_ms,0.226888408
182063584470451,0.8017048239707947,% Vertex Fetch Stall,0.422784729
182063584476806,25.818866729736328,% Texture Fetch Stall,0.422791084
182063584480608,22.646394729614258,,0.422794886
182063584483316,23.135202407836914,% Texture L2 Miss,0.422797594
182063584486597,8554797.0,Vertices Shaded / Second,0.422800875
182063584489045,1208190592.0,Fragments Shaded / Second,0.422803323
182063584491545,1308850688.0,Vertex Instructions / Second,0.422805823
182063584494253,75120648192.0,Fragment Instructions / Second,0.422808531
182063584496910,1.1502933502197266,Textures / Fragment,0.422811188
182063584499306,93.92005157470703,% Time Shading Fragments,0.422813584
182063584501337,6.079952239990234,% Time Shading Vertices,0.422815615
182063584503524,0.0,% Time Compute,0.422817802
182063584506389,38.55824661254883,% Nearest Filtered,0.422820667
182063584508212,61.44175338745117,% Linear Filtered,0.42282249
182063584510295,0.0,% Anisotropic Filtered,0.422824573
182063584513160,0.6440759301185608,Avg Preemption Delay,0.422827438
182063684867701,0.7550523281097412,% Vertex Fetch Stall,0.523181979
182063684879159,23.769777297973633,% Texture Fetch Stall,0.523193437
182063684880201,22.60796356201172,,0.523194479
182063684880670,23.482959747314453,% Texture L2 Miss,0.523194948
182063684881451,9023399.0,Vertices Shaded / Second,0.523195729
