time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,6222000,1140000,1315000,2060000,105000,7035000,159000,0,5000,7000,65000,65000,2269000,3157000,5426000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
0.203,,6222000,1118000,1544000,1008000,105000,7035000,159000,0,5000,7000,68000,65000,2270000,3174000,5444000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
0.403,,6198000,1198000,1615000,1440000,105000,6853000,159000,10000,78000,4000,72000,65000,2207000,2939000,5146000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
0.603,,6198000,1118000,1639000,960000,105000,6853000,227000,0,32000,4000,68000,65000,2181000,3206000,5387000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
0.804,,6198000,1118000,1496000,1220000,105000,6853000,227000,0,32000,4000,68000,65000,2171000,3283000,5454000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
1.003,,6134000,1176000,1473000,1220000,105000,7050000,227000,0,32000,4000,68000,65000,2337000,3190000,5527000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
1.203,,6134000,1118000,1948000,1360000,105000,7050000,288000,0,5000,4000,68000,65000,2170000,3070000,5240000,25000000,120.2,116.15,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
1.404,,6134000,1050000,1330000,1080000,105000,7050000,288000,0,5000,7000,68000,65000,2213000,3393000,5606000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
1.604,,6085000,1028000,1131000,1189000,105000,7094000,296000,0,5000,11000,68000,65000,2226000,3678000,5904000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
1.803,,6085000,1028000,1853000,792000,105000,7094000,296000,10000,653000,0,86000,65000,2237000,7058000,9295000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
2.003,,6085000,1073000,1520000,826000,105000,7094000,296000,0,32000,4000,68000,65000,2243000,6405000,8648000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
2.203,,6149000,1028000,1900000,874000,105000,7278000,236000,0,32000,4000,68000,65000,2251000,6674000,8925000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
2.404,,6149000,1207000,1473000,1884000,105000,7278000,236000,0,32000,4000,68000,65000,2268000,4678000,6946000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
2.604,,6329000,1028000,1473000,874000,105000,7278000,236000,168000,5000,4000,68000,65000,2313000,5456000,7769000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
2.804,,6329000,1065000,1544000,772000,105000,7236000,309000,0,5000,11000,68000,65000,2329000,6263000,8592000,25000000,120.2,115.7,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
3.004,,6329000,1005000,1496000,711000,105000,7236000,309000,0,5000,11000,68000,65000,2389000,5490000,7879000,25000000,120.2,116.15,92.12,113.3366,117.95,115.925,111.2,118.9616,115.8116
3.204,,6423000,1118000,1758000,806000,105000,7236000,309000,0,5000,11000,68000,65000,2360000,3395000,5755000,25000000,120.2,116.15,92.12,113.3366,118.0616,115.925,111.2,118.9616,115.8116
3.403,,6423000,1073000,1378000,711000,105000,7371000,222000,0,5000,4000,68000,65000,2313000,6614000,8927000,25000000,120.2,115.7,92.12,113.3366,118.0616,115.925,111.2,118.9616,115.8116
3.604,,6423000,1073000,1530000,983000,105000,7371000,222000,0,5000,11000,68000,65000,2296000,3453000,5749000,25000000,120.2,116.15,92.12,113.3366,118.0616,115.925,111.2,118.9616,115.8116
3.804,,6466000,1050000,1615000,806000,105000,7371000,222000,0,5000,4000,68000,65000,2296000,3401000,5697000,25000000,120.2,116.15,92.12,113.3366,118.0616,115.925,111.2,118.9616,115.8116
4.005,,6466000,1050000,1473000,949000,105000,7408000,233000,0,5000,11000,68000,65000,2335000,4389000,6724000,25000000,120.2,116.15,92.12,113.3366,118.0616,115.925,111.2,118.9616,115.8116
4.205,,6466000,1118000,1663000,731000,105000,7408000,233000,0,5000,7000,68000,65000,2275000,3441000,5716000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
4.405,,6503000,1140000,1948000,927000,105000,7391000,233000,0,5000,7000,68000,65000,2260000,8286000,10546000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
4.603,,6503000,1118000,1315000,711000,2434000,7391000,229000,0,5000,4000,68000,65000,2263000,5998000,8261000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
4.804,,6503000,1184000,1362000,691000,3392000,7391000,229000,10000,76000,0,68000,65000,2280000,7851000,10131000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
5.004,,6539000,1176000,1401000,1089000,3413000,7232000,229000,0,32000,4000,68000,65000,2300000,8986000,11286000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
5.204,,6539000,1184000,1243000,813000,3250000,7232000,226000,0,32000,4000,68000,65000,2298000,8869000,11167000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.403,,6539000,1118000,1924000,856000,3311000,7232000,226000,0,32000,4000,65000,65000,2368000,9183000,11551000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.604,,6524000,1118000,1235000,1552000,5038000,7411000,226000,0,5000,7000,68000,65000,2399000,3643000,6042000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.805,,6524000,1118000,1330000,751000,3291000,7411000,239000,0,5000,11000,68000,65000,2330000,9498000,11828000,25000000,120.2,116.6,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
6.003,,6524000,1353000,1900000,853000,105000,7411000,239000,0,5000,7000,68000,65000,2462000,4190000,6652000,25000000,120.2,116.6,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
6.203,,6408000,1154000,1900000,706000,105000,7468000,239000,0,5000,11000,68000,65000,2475000,3524000,5999000,25000000,120.2,116.15,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.403,,6408000,1251000,1639000,1351000,5139000,7468000,239000,0,5000,4000,68000,65000,2414000,3806000,6220000,25000000,120.2,116.15,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.603,,6368000,1376000,1259000,1310000,105000,7468000,239000,0,5000,11000,68000,65000,2506000,4234000,6740000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.803,,6368000,1509000,1924000,968000,356000,7473000,246000,0,5000,7000,74000,65000,2519000,4068000,6587000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
7.004,,6368000,1487000,1259000,856000,105000,7473000,246000,10000,76000,4000,72000,65000,2474000,4094000,6568000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
7.204,,6524000,1251000,2043000,746000,356000,7473000,246000,0,32000,4000,68000,65000,2388000,3793000,6181000,25000000,120.2,116.15,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.404,,6524000,1251000,1686000,820000,105000,7439000,257000,0,32000,4000,68000,65000,2482000,3651000,6133000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.604,,6524000,1265000,1615000,1008000,105000,7439000,257000,0,32000,4000,68000,65000,2340000,3399000,5739000,25000000,120.2,116.15,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.803,,6542000,1309000,1401000,1413000,5300000,7439000,257000,0,5000,11000,72000,65000,2350000,3861000,6211000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
8.003,,6542000,1273000,1924000,1048000,105000,7419000,337000,0,5000,7000,68000,65000,2326000,3232000,5558000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
8.203,,6542000,1043000,1924000,968000,105000,7419000,337000,0,5000,11000,68000,68000,2293000,3861000,6154000,25000000,120.2,116.6,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.403,,6518000,1398000,1354000,1189000,105000,7419000,337000,0,5000,4000,68000,65000,2351000,3130000,5481000,25000000,120.2,116.6,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.603,,6518000,1043000,1853000,1500000,104000,7389000,258000,0,5000,11000,68000,65000,2392000,3436000,5828000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.804,,6518000,1154000,1306000,1713000,105000,7389000,258000,0,5000,7000,68000,65000,2355000,3618000,5973000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
9.003,,6472000,1021000,2066000,1371000,105000,7422000,258000,0,5000,11000,68000,65000,2444000,3631000,6075000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
9.204,,6472000,1497000,1267000,1760000,105000,7422000,234000,0,5000,11000,68000,65000,2444000,3589000,6033000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.404,,6472000,1140000,1663000,1673000,105000,7422000,234000,0,5000,4000,68000,65000,2470000,3279000,5749000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.603,,6512000,1050000,1686000,1190000,105000,7260000,234000,0,5000,11000,68000,65000,2267000,3377000,5644000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.803,,6512000,1118000,1544000,1100000,105000,7260000,223000,0,5000,4000,86000,65000,2245000,5260000,7505000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
10.003,,6512000,1028000,1171000,887000,105000,7260000,223000,0,32000,4000,68000,65000,2243000,3017000,5260000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
10.203,,6539000,1073000,1758000,1109000,105000,7415000,223000,0,32000,4000,68000,65000,2256000,3846000,6102000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.404,,6539000,1028000,1496000,1774000,105000,7415000,206000,0,32000,4000,68000,65000,2256000,3200000,5456000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.603,,6539000,1050000,1639000,887000,105000,7415000,206000,20000,5000,7000,68000,65000,2294000,6758000,9052000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.804,,6448000,1028000,1496000,1509000,105000,7468000,206000,0,5000,7000,68000,65000,2277000,6641000,8918000,25000000,120.2,116.15,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
11.004,,6448000,1065000,1401000,1060000,105000,7468000,198000,0,5000,4000,68000,65000,2271000,3218000,5489000,25000000,120.2,116.15,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
11.203,,6387000,1043000,1401000,955000,105000,7468000,198000,0,5000,7000,68000,65000,2299000,7030000,9329000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.404,,6387000,1050000,1401000,1284000,105000,7461000,218000,0,5000,7000,68000,65000,2288000,3618000,5906000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.604,,6387000,1005000,1219000,1341000,105000,7461000,218000,0,5000,7000,68000,65000,2306000,5322000,7628000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.803,,6493000,1005000,1496000,813000,105000,7461000,218000,0,5000,4000,68000,65000,2355000,7703000,10058000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.004,,6493000,1028000,1496000,711000,105000,7422000,217000,0,640000,0,86000,65000,2352000,5716000,8068000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.204,,6493000,1050000,1781000,1562000,105000,7422000,217000,10000,656000,0,86000,65000,2339000,3314000,5653000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.404,,6521000,1050000,1473000,1785000,105000,7422000,217000,0,32000,4000,68000,65000,2333000,7702000,10035000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.603,,6521000,1050000,1315000,853000,105000,7400000,215000,0,32000,7000,68000,65000,2315000,3435000,5750000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.804,,6521000,1073000,1330000,833000,105000,7400000,215000,0,32000,4000,68000,65000,2325000,3582000,5907000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
13.004,,6554000,1028000,1615000,691000,105000,7400000,215000,10000,5000,11000,74000,65000,2364000,4028000,6392000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
13.203,,6554000,1073000,1315000,833000,105000,7424000,250000,10000,78000,0,79000,65000,2364000,3734000,6098000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
