time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5548000,1553000,2090000,1648000,852000,6415000,0,35000,4000,229000,68000,68000,2549000,4842000,7391000,25000000,127.4,124.25,92.12,119.4116,125.15,123.2366,116.7116,126.05,122.675
0.204,,5719000,1553000,1971000,1129000,880000,6415000,0,5000,11000,229000,68000,68000,2638000,4263000,6901000,25000000,127.4,124.25,92.12,119.4116,125.15,123.2366,116.7116,126.05,122.675
0.404,,5719000,1598000,1924000,1229000,105000,6585000,0,5000,7000,229000,68000,70000,2631000,4202000,6833000,25000000,127.4,124.25,92.12,119.4116,125.15,123.2366,116.7116,126.05,122.675
0.604,,5719000,1184000,2494000,884000,3392000,6585000,0,5000,7000,251000,68000,68000,2593000,5222000,7815000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
0.804,,5734000,1553000,2066000,1693000,105000,6592000,0,5000,4000,251000,68000,70000,2493000,4715000,7208000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
1.004,,5734000,1287000,1544000,1969000,105000,6592000,0,5000,7000,251000,68000,70000,2568000,4444000,7012000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
1.204,,5734000,1287000,1306000,1512000,838000,6592000,0,5000,7000,281000,68000,70000,2536000,4652000,7188000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
1.402,,5728000,1251000,1401000,1512000,105000,6607000,0,5000,4000,281000,68000,68000,2406000,4637000,7043000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
1.603,,5728000,1531000,2138000,1310000,796000,6607000,0,5000,11000,281000,68000,68000,2423000,5061000,7484000,25000000,127.4,124.25,92.12,119.4116,125.15,123.125,116.7116,126.05,122.5616
