time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5990000,1309000,2066000,1785000,105000,7145000,0,5000,4000,140000,65000,65000,2437000,5459000,7896000,25000000,122,118.85,96.8,115.025,120.3116,118.175,112.8866,121.325,117.8366
0.203,,5990000,1287000,1339000,1391000,105000,7035000,0,5000,4000,140000,72000,68000,2427000,7438000,9865000,25000000,122,118.85,96.8,115.025,120.3116,118.175,112.8866,121.325,117.8366
0.404,,5990000,1420000,2399000,1492000,105000,7035000,0,5000,11000,257000,68000,65000,2459000,5225000,7684000,25000000,122,118.85,96.8,115.025,120.3116,118.175,112.8866,121.325,117.8366
0.603,,5710000,1553000,1853000,1777000,105000,6820000,0,5000,4000,257000,68000,65000,2487000,4714000,7201000,25000000,122,119.3,96.8,115.025,120.3116,118.175,112.8866,121.325,117.8366
0.803,,5710000,1487000,1267000,1840000,105000,6820000,0,5000,4000,257000,68000,65000,2455000,3354000,5809000,25000000,122,119.3,96.8,115.025,120.3116,118.175,112.8866,121.325,117.8366
1.004,,5710000,1531000,2423000,1520000,105000,6820000,0,5000,7000,235000,68000,65000,2496000,5206000,7702000,25000000,122,118.85,96.8,114.9116,120.3116,118.175,112.8866,121.325,117.8366
1.203,,5566000,1176000,1315000,1520000,105000,6667000,0,5000,7000,235000,68000,65000,2438000,5505000,7943000,25000000,122,118.85,96.8,114.9116,120.3116,118.175,112.8866,121.325,117.8366
1.403,,5566000,1176000,1639000,1351000,105000,6667000,0,5000,7000,283000,68000,65000,2347000,7873000,10220000,25000000,122,118.85,96.8,114.9116,120.3116,118.175,112.8866,121.325,117.8366
1.603,,5566000,1207000,1354000,1391000,105000,6667000,0,626000,0,283000,72000,65000,2293000,4576000,6869000,25000000,122,119.3,96.8,114.9116,120.3116,118.175,112.8866,121.325,117.8366
1.803,,5508000,1118000,1401000,1178000,105000,6632000,0,32000,4000,283000,68000,65000,2354000,5790000,8144000,25000000,122,118.85,96.8,114.9116,120.3116,118.175,112.8866,121.325,117.8366
2.004,,5508000,1207000,1568000,1451000,105000,6632000,0,32000,4000,284000,68000,65000,2338000,8209000,10547000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
2.203,,5508000,1140000,1378000,1349000,147000,6632000,0,32000,4000,284000,68000,65000,2375000,8842000,11217000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
2.404,,5475000,1073000,1520000,751000,838000,6634000,0,5000,11000,284000,68000,65000,2364000,5209000,7573000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
2.604,,5475000,1140000,1449000,1006000,105000,6634000,0,5000,4000,289000,68000,65000,2341000,5219000,7560000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
2.804,,5475000,1273000,1615000,1331000,105000,6634000,0,5000,7000,289000,68000,65000,2391000,7922000,10313000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
3.005,,5661000,1140000,1354000,2504000,838000,6559000,0,5000,4000,289000,68000,65000,2456000,5014000,7470000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
3.204,,5661000,1140000,1449000,1008000,105000,6559000,0,5000,7000,304000,68000,65000,2424000,4762000,7186000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
3.405,,5639000,1073000,1473000,1134000,105000,6559000,0,5000,4000,304000,68000,65000,2482000,5573000,8055000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
3.605,,5639000,1073000,1554000,1976000,105000,6725000,0,5000,11000,304000,68000,65000,2480000,4940000,7420000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
