time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,4859000,1076000,1362000,1451000,825000,5844000,30000,8000,11000,167000,74000,70000,2520000,3884000,6404000,25000000,125.6,122.9,93.2,119.075,124.8116,122.675,116.9366,125.6,122.225
0.204,,4859000,914000,1378000,1189000,3709000,5844000,79000,459000,68000,319000,92000,70000,2514000,5050000,7564000,25000000,125.6,122.9,93.2,119.075,124.8116,122.675,116.9366,125.6,122.225
0.405,,5066000,935000,1458000,1331000,860000,5844000,20000,35000,11000,319000,74000,70000,2534000,4160000,6694000,25000000,125.6,122.9,93.2,119.075,124.8116,122.675,116.9366,125.6,122.225
0.604,,5066000,1016000,1387000,1129000,4818000,5683000,20000,35000,7000,319000,74000,70000,2447000,3555000,6002000,25000000,125.6,122.9,93.2,119.075,124.8116,122.5616,116.9366,125.4866,122.225
0.804,,5066000,1158000,1259000,1351000,831000,5683000,10000,35000,11000,271000,72000,70000,2364000,4323000,6687000,25000000,125.6,122.9,93.2,119.075,124.8116,122.5616,116.9366,125.4866,122.225
1.003,,5112000,1471000,1306000,1764000,104000,5683000,20000,81000,11000,271000,74000,70000,2436000,5151000,7587000,25000000,125.6,122.9,93.2,119.075,124.8116,122.5616,116.9366,125.4866,122.225
1.204,,5112000,1310000,1315000,1318000,852000,5882000,10000,35000,7000,271000,70000,70000,2364000,4470000,6834000,25000000,125.6,122.9,93.2,119.075,124.8116,122.5616,116.9366,125.4866,122.225
1.404,,4874000,1310000,1354000,992000,104000,5882000,20000,35000,7000,283000,74000,70000,2452000,4927000,7379000,25000000,125.6,122.9,93.2,119.075,124.8116,122.5616,116.9366,125.4866,122.225
1.604,,4874000,1097000,1219000,1691000,104000,5882000,10000,35000,7000,283000,72000,70000,2425000,4528000,6953000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.675,116.9366,125.4866,122.1116
1.804,,4874000,1280000,1520000,863000,831000,5652000,30000,14000,11000,283000,72000,70000,2432000,9814000,12246000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.675,116.9366,125.4866,122.1116
2.004,,5069000,1199000,1315000,1562000,104000,5652000,20000,14000,11000,281000,74000,70000,2378000,3999000,6377000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.675,116.9366,125.4866,122.1116
2.204,,5069000,1290000,1275000,863000,104000,5652000,20000,14000,11000,281000,72000,70000,2463000,4680000,7143000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.675,116.9366,125.4866,122.1116
2.404,,5069000,1138000,1267000,1006000,707000,5882000,20000,11000,7000,281000,74000,70000,2416000,3443000,5859000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.675,116.9366,125.4866,122.1116
2.604,,4868000,1158000,1330000,813000,852000,5882000,30000,14000,7000,277000,74000,70000,2441000,4394000,6835000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
2.804,,4868000,1279000,1354000,995000,831000,5882000,20000,11000,11000,277000,74000,70000,2362000,9273000,11635000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
3.003,,4868000,1048000,1401000,711000,763000,5869000,20000,11000,11000,277000,74000,70000,2399000,4161000,6560000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
3.203,,5075000,1076000,1330000,711000,102000,5869000,30000,14000,11000,188000,70000,70000,2506000,4240000,6746000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
3.404,,5075000,1048000,1235000,751000,4749000,5869000,20000,14000,7000,188000,68000,70000,2475000,4121000,6596000,25000000,125.6,122.45,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
3.604,,5075000,1097000,1315000,863000,5180000,5648000,30000,14000,11000,188000,70000,70000,2461000,4552000,7013000,25000000,125.6,122.45,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
3.804,,4859000,1158000,1267000,706000,102000,5648000,30000,11000,7000,205000,68000,70000,2521000,4125000,6646000,25000000,125.6,122.45,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
4.004,,4859000,1138000,1259000,1434000,102000,5842000,30000,11000,7000,205000,68000,70000,2494000,4671000,7165000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
4.204,,4859000,1129000,1520000,1178000,102000,5842000,30000,14000,11000,244000,68000,70000,2491000,4088000,6579000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
4.403,,5069000,1056000,1544000,1048000,102000,5842000,30000,14000,7000,244000,68000,70000,2553000,4082000,6635000,25000000,125.6,122.9,93.2,118.9616,124.8116,122.5616,116.9366,125.4866,122.1116
4.604,,5069000,1068000,1330000,1109000,104000,5637000,30000,14000,11000,244000,72000,70000,2535000,4879000,7414000,25000000,125.6,122.9,93.2,118.9616,124.7,122.5616,116.9366,125.4866,122.1116
4.804,,5069000,1158000,1315000,1189000,102000,5637000,30000,11000,11000,249000,70000,70000,2569000,4475000,7044000,25000000,125.6,122.9,93.2,118.9616,124.7,122.5616,116.9366,125.4866,122.1116
5.003,,5045000,867000,1330000,1109000,102000,5637000,20000,8000,11000,249000,68000,70000,2501000,3933000,6434000,25000000,125.6,122.9,93.2,118.9616,124.7,122.5616,116.9366,125.4866,122.1116
5.203,,5045000,914000,1568000,1270000,104000,5851000,30000,11000,11000,249000,68000,70000,2518000,5962000,8480000,25000000,125.6,122.9,93.2,118.9616,124.7,122.5616,116.9366,125.4866,122.1116
5.403,,5045000,874000,1235000,1331000,104000,5851000,20000,81000,11000,255000,77000,70000,2467000,4908000,7375000,25000000,125.6,122.9,93.2,118.9616,124.7,122.5616,116.9366,125.4866,122.1116
5.604,,4846000,935000,1315000,1492000,104000,5851000,10000,35000,11000,255000,74000,70000,2523000,4906000,7429000,25000000,125.6,122.9,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
5.804,,4846000,1036000,1362000,1713000,103000,5793000,10000,35000,11000,255000,72000,70000,2499000,5589000,8088000,25000000,125.6,122.9,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
6.003,,5051000,1239000,1674000,1049000,102000,5793000,20000,659000,4000,308000,86000,70000,2537000,3835000,6372000,25000000,125.6,122.9,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
6.204,,5051000,874000,1378000,1310000,104000,5793000,20000,35000,7000,308000,79000,70000,2563000,5367000,7930000,25000000,125.6,122.9,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
6.404,,5051000,914000,1330000,1270000,104000,5692000,20000,81000,7000,308000,79000,70000,2600000,6569000,9169000,25000000,125.6,122.9,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
6.604,,4850000,833000,1449000,1351000,104000,5692000,10000,35000,11000,251000,74000,70000,2593000,4902000,7495000,25000000,125.6,122.45,93.38,118.9616,124.7,122.5616,116.825,125.375,122.1116
6.803,,4850000,874000,1544000,1169000,845000,5692000,10000,35000,11000,251000,74000,70000,2448000,10041000,12489000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122.1116
7.003,,4850000,914000,1971000,1129000,102000,5842000,10000,35000,11000,251000,72000,70000,2536000,3521000,6057000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122.1116
7.203,,5057000,874000,1473000,1391000,914000,5842000,30000,14000,11000,214000,72000,70000,2493000,9602000,12095000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122.1116
7.404,,5057000,914000,1330000,1089000,3467000,5842000,20000,14000,11000,214000,74000,70000,2512000,4779000,7291000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122.1116
7.604,,5057000,1036000,1259000,1935000,852000,5637000,20000,14000,11000,214000,74000,70000,2476000,9509000,11985000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122.1116
7.804,,4853000,1076000,1948000,1169000,5321000,5637000,30000,11000,11000,233000,68000,70000,2445000,4401000,6846000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122
8.004,,4853000,813000,1243000,968000,102000,5637000,10000,81000,11000,233000,74000,70000,2533000,4497000,7030000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122
8.204,,4853000,935000,1306000,887000,5886000,5833000,10000,35000,11000,233000,74000,70000,2446000,5517000,7963000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122
8.406,,5036000,921000,1315000,1451000,873000,5833000,10000,35000,7000,219000,74000,70000,2405000,8044000,10449000,25000000,125.6,122.9,93.38,118.9616,124.8116,122.45,116.9366,125.375,122
8.603,,5036000,914000,1315000,1229000,3286000,5632000,10000,35000,7000,219000,74000,70000,2414000,4623000,7037000,25000000,125.6,122.45,93.38,118.9616,124.8116,122.45,116.9366,125.375,122
8.804,,5036000,1056000,1362000,1391000,4938000,5632000,20000,11000,11000,219000,74000,70000,2512000,4082000,6594000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,122
9.004,,5063000,914000,1330000,1691000,102000,5632000,30000,11000,11000,208000,68000,70000,2537000,3846000,6383000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,122
9.204,,5063000,1089000,1339000,1636000,757000,5849000,30000,11000,11000,208000,79000,70000,2399000,4496000,6895000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,122
9.404,,5063000,1089000,1315000,1270000,819000,5849000,20000,14000,11000,284000,74000,70000,2409000,4153000,6562000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,122
9.604,,4846000,955000,1330000,1403000,839000,5849000,20000,14000,11000,284000,74000,70000,2368000,4240000,6608000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,122
9.804,,4846000,1239000,1378000,1048000,104000,5864000,20000,11000,7000,284000,70000,70000,2409000,4932000,7341000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,122
