time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,4813000,833000,1924000,1658000,105000,5647000,18000,78000,14000,102000,54000,68000,2451000,4345000,6796000,25000000,120.2,116.15,97.88,112.8866,118.4,116.15,111.3116,119.075,115.8116
0.204,,4813000,813000,1348000,1834000,440000,5647000,18000,35000,11000,206000,51000,68000,2456000,5294000,7750000,25000000,120.2,116.6,97.88,113,118.5116,116.15,111.3116,119.075,115.8116
0.406,,5115000,1073000,1306000,1380000,880000,5950000,28000,35000,11000,206000,49000,68000,2420000,5005000,7425000,25000000,120.2,116.15,97.88,113,118.5116,116.15,111.3116,119.075,115.8116
0.605,,5115000,1073000,1805000,1250000,2986000,5950000,28000,35000,11000,206000,48000,68000,2492000,5417000,7909000,25000000,120.2,116.15,97.88,113,118.5116,116.15,111.3116,119.075,115.8116
0.805,,5115000,1251000,2233000,1109000,3250000,5950000,18000,14000,11000,245000,48000,68000,2367000,5203000,7570000,25000000,120.2,116.15,97.88,113,118.5116,116.15,111.3116,119.075,115.8116
1.005,,5319000,887000,1458000,1229000,796000,6158000,18000,81000,11000,245000,54000,68000,2413000,7499000,9912000,25000000,120.2,116.15,97.88,113,118.5116,116.15,111.3116,119.075,115.8116
1.204,,5319000,819000,1449000,1250000,105000,6158000,18000,35000,11000,245000,51000,68000,2528000,4700000,7228000,25000000,120.2,116.6,97.7,113,118.5116,116.2616,111.3116,119.075,115.925
1.404,,5371000,1353000,2066000,1250000,2575000,6158000,18000,35000,11000,284000,51000,68000,2444000,4327000,6771000,25000000,120.2,116.15,97.7,113,118.5116,116.2616,111.3116,119.075,115.925
1.605,,5371000,1207000,1506000,1734000,3474000,6183000,18000,35000,11000,284000,48000,68000,2517000,5216000,7733000,25000000,120.2,116.15,97.7,113,118.5116,116.2616,111.3116,119.075,115.925
1.804,,5371000,1296000,1520000,1169000,4855000,6183000,18000,35000,11000,284000,51000,68000,2424000,4735000,7159000,25000000,120.2,116.15,97.7,113,118.5116,116.2616,111.3116,119.075,115.925
2.005,,5334000,1363000,1387000,948000,3453000,6205000,18000,35000,14000,290000,48000,68000,2359000,5841000,8200000,25000000,120.2,116.6,97.7,113,118.5116,116.2616,111.3116,119.075,115.925
2.205,,5334000,860000,1458000,1471000,105000,6205000,18000,35000,11000,290000,51000,68000,2486000,4864000,7350000,25000000,120.2,116.6,97.88,113.1116,118.5116,116.2616,111.3116,119.1866,115.925
2.405,,5334000,1287000,2090000,1460000,754000,6205000,18000,35000,11000,290000,48000,68000,2459000,4946000,7405000,25000000,120.2,116.6,97.88,113.1116,118.5116,116.2616,111.3116,119.1866,115.925
2.604,,5133000,1198000,1387000,1360000,775000,6205000,18000,14000,11000,282000,48000,68000,2421000,4595000,7016000,25000000,120.2,116.6,97.88,113.1116,118.5116,116.2616,111.3116,119.1866,115.925
2.803,,5133000,1753000,2090000,593000,796000,6205000,28000,14000,11000,282000,48000,68000,2445000,9015000,11460000,25000000,120.2,116.6,97.88,113.1116,118.5116,116.2616,111.3116,119.1866,115.925
3.003,,5133000,1642000,1649000,706000,105000,6205000,28000,78000,7000,225000,54000,68000,2462000,4585000,7047000,25000000,120.2,116.6,97.88,113.1116,118.5116,116.2616,111.3116,119.1866,115.925
3.204,,5212000,914000,1362000,1310000,3342000,6001000,18000,35000,14000,225000,60000,68000,2562000,5827000,8389000,25000000,120.2,116.6,97.7,113.1116,118.625,116.375,111.3116,119.1866,116.0366
3.405,,5212000,1199000,1924000,1220000,105000,6001000,18000,35000,11000,225000,51000,68000,2421000,4207000,6628000,25000000,120.2,116.6,97.7,113.1116,118.625,116.375,111.3116,119.1866,116.0366
3.604,,5212000,1309000,2066000,813000,775000,6001000,28000,35000,14000,223000,48000,68000,2521000,8310000,10831000,25000000,120.2,116.6,97.7,113.1116,118.625,116.375,111.3116,119.1866,116.0366
3.804,,5136000,1620000,1387000,2355000,775000,5845000,18000,35000,11000,223000,55000,68000,2551000,4355000,6906000,25000000,120.2,116.6,97.7,113.1116,118.625,116.375,111.3116,119.1866,116.0366
4.003,,5136000,1273000,1948000,766000,796000,5845000,18000,14000,11000,223000,48000,68000,2547000,3893000,6440000,25000000,120.2,116.6,97.7,113.1116,118.625,116.375,111.3116,119.1866,116.0366
4.204,,5136000,1531000,1483000,1248000,335000,5845000,37000,14000,7000,281000,48000,68000,2596000,4597000,7193000,25000000,120.2,117.05,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
4.404,,5148000,1198000,1900000,1371000,748000,6043000,28000,14000,11000,281000,48000,68000,2534000,4330000,6864000,25000000,120.2,116.6,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
4.604,,5148000,1243000,2138000,766000,5363000,6043000,28000,14000,11000,281000,48000,68000,2630000,3699000,6329000,25000000,120.2,117.05,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
4.804,,5148000,1273000,1339000,760000,796000,6043000,28000,81000,11000,215000,51000,68000,2559000,4495000,7054000,25000000,120.2,117.05,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
5.005,,5179000,1273000,1339000,751000,796000,6072000,18000,35000,11000,215000,48000,68000,2540000,4203000,6743000,25000000,120.2,117.05,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
5.204,,5179000,1320000,1710000,887000,104000,6072000,18000,35000,11000,215000,48000,68000,2575000,4121000,6696000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.404,,5179000,1207000,1354000,1076000,105000,6072000,18000,35000,11000,212000,48000,68000,2591000,5149000,7740000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.604,,5155000,1296000,1758000,1306000,105000,5997000,18000,14000,11000,212000,48000,68000,2686000,4744000,7430000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.804,,5155000,1207000,1924000,696000,105000,5997000,28000,14000,11000,212000,48000,70000,2688000,3908000,6596000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
