time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,6347000,1287000,1483000,1512000,105000,7264000,0,8000,11000,157000,70000,70000,2671000,3594000,6265000,25000000,120.2,117.95,87.26,114.0116,119.4116,117.5,111.3116,120.2,117.05
0.203,,6326000,1065000,1401000,1209000,105000,7264000,0,8000,4000,157000,70000,68000,2644000,3210000,5854000,25000000,120.2,117.95,87.26,114.0116,119.4116,117.5,111.3116,120.2,117.05
0.403,,6326000,1420000,1520000,1240000,105000,7264000,0,8000,11000,222000,70000,68000,2445000,3390000,5835000,25000000,120.2,117.5,87.26,114.0116,119.4116,117.5,111.3116,120.2,117.05
0.603,,6326000,1050000,1449000,1120000,105000,7302000,0,8000,7000,222000,70000,70000,2429000,3419000,5848000,25000000,120.2,117.5,87.26,114.0116,119.4116,117.5,111.3116,120.2,117.05
0.803,,6295000,1073000,1339000,1573000,105000,7302000,0,8000,11000,222000,70000,68000,2415000,3654000,6069000,25000000,120.2,117.5,87.44,114.125,119.4116,117.5,111.3116,120.2,117.05
1.003,,6295000,1073000,1330000,1440000,105000,7302000,0,8000,4000,267000,70000,70000,2409000,3871000,6280000,25000000,120.2,117.5,87.44,114.125,119.4116,117.5,111.3116,120.2,117.05
1.203,,6295000,1050000,1354000,928000,105000,7320000,0,8000,4000,267000,70000,68000,2395000,3908000,6303000,25000000,120.2,117.95,87.44,114.125,119.4116,117.5,111.3116,120.2,117.05
1.403,,6292000,1028000,2161000,1260000,105000,7320000,20000,664000,4000,267000,74000,68000,2367000,3575000,5942000,25000000,120.2,117.5,87.44,114.125,119.4116,117.5,111.3116,120.2,117.05
1.604,,6292000,1028000,1520000,1209000,105000,7320000,10000,35000,7000,300000,70000,68000,2345000,3409000,5754000,25000000,120.2,117.5,87.44,114.125,119.4116,117.5,111.3116,120.2,117.05
1.803,,6292000,1073000,1496000,1076000,105000,7284000,10000,35000,4000,300000,77000,68000,2369000,6704000,9073000,25000000,120.2,117.5,87.26,114.125,119.525,117.5,111.3116,120.3116,117.1616
2.003,,6326000,1050000,1496000,726000,105000,7284000,10000,32000,4000,300000,70000,68000,2384000,6202000,8586000,25000000,120.2,117.5,87.26,114.125,119.525,117.5,111.3116,120.3116,117.1616
2.203,,6326000,1050000,1544000,1351000,105000,7284000,10000,456000,11000,212000,77000,68000,2377000,5835000,8212000,25000000,120.2,117.5,87.26,114.125,119.525,117.5,111.3116,120.3116,117.1616
2.403,,6326000,1050000,1995000,1068000,105000,7265000,0,8000,4000,212000,70000,68000,2385000,5813000,8198000,25000000,120.2,117.5,87.26,114.125,119.525,117.5,111.3116,120.3116,117.1616
2.603,,6277000,1028000,1663000,731000,105000,7265000,0,8000,11000,212000,70000,68000,2414000,7018000,9432000,25000000,120.2,117.5,87.26,114.125,119.525,117.5,111.3116,120.3116,117.1616
2.803,,6277000,1073000,1568000,833000,105000,7265000,0,8000,4000,265000,70000,68000,2396000,6309000,8705000,25000000,120.2,117.5,87.26,114.125,119.525,117.6116,111.425,120.3116,117.1616
3.004,,6277000,1050000,1378000,833000,105000,7238000,0,8000,11000,265000,70000,68000,2405000,6146000,8551000,25000000,120.2,117.95,87.26,114.125,119.525,117.6116,111.425,120.3116,117.1616
3.204,,6176000,1028000,1520000,711000,105000,7238000,0,8000,4000,265000,70000,68000,2371000,5818000,8189000,25000000,120.2,117.95,87.26,114.125,119.525,117.6116,111.425,120.3116,117.1616
3.404,,6176000,1073000,1378000,1008000,105000,7238000,0,8000,14000,215000,70000,68000,2370000,6768000,9138000,25000000,120.2,117.95,87.26,114.125,119.525,117.6116,111.425,120.3116,117.1616
3.604,,6176000,1050000,1401000,1440000,105000,7227000,0,8000,4000,215000,70000,68000,2372000,9462000,11834000,25000000,120.2,117.95,87.26,114.125,119.525,117.6116,111.425,120.3116,117.1616
3.804,,6353000,1028000,2304000,711000,105000,7227000,0,8000,11000,215000,70000,68000,2446000,8917000,11363000,25000000,120.2,117.5,87.26,114.2366,119.6366,117.6116,111.425,120.3116,117.1616
4.004,,6353000,1073000,1615000,711000,105000,7227000,0,8000,11000,217000,70000,68000,2464000,6452000,8916000,25000000,120.2,117.95,87.26,114.2366,119.6366,117.6116,111.425,120.3116,117.1616
4.203,,6353000,1140000,1378000,813000,2272000,7229000,20000,81000,0,217000,74000,68000,2466000,4571000,7037000,25000000,120.2,117.95,87.26,114.2366,119.6366,117.6116,111.425,120.3116,117.1616
4.404,,6323000,1050000,1568000,1097000,105000,7229000,10000,32000,4000,230000,70000,68000,2433000,9377000,11810000,25000000,120.2,117.95,87.26,114.2366,119.6366,117.6116,111.425,120.3116,117.1616
4.604,,6323000,1073000,1615000,1296000,1269000,7198000,10000,35000,7000,230000,70000,68000,2436000,9023000,11459000,25000000,120.2,117.95,87.26,114.2366,119.6366,117.6116,111.425,120.3116,117.1616
4.804,,6265000,1073000,1971000,1169000,3521000,7198000,10000,35000,4000,230000,70000,68000,2451000,9911000,12362000,25000000,120.2,117.95,87.44,114.2366,119.75,117.725,111.425,120.425,117.275
5.005,,6265000,1140000,1971000,992000,1330000,7198000,0,8000,11000,220000,70000,68000,2462000,3546000,6008000,25000000,120.2,117.95,87.44,114.2366,119.75,117.725,111.425,120.425,117.275
5.205,,6265000,1184000,1615000,1310000,3337000,7386000,0,8000,11000,220000,70000,68000,2464000,9730000,12194000,25000000,120.2,117.95,87.44,114.2366,119.75,117.725,111.425,120.425,117.275
5.405,,6429000,1073000,1378000,820000,105000,7386000,0,8000,11000,220000,70000,68000,2455000,6073000,8528000,25000000,120.2,117.95,87.44,114.2366,119.75,117.725,111.425,120.425,117.275
5.604,,6429000,1251000,1805000,1068000,3521000,7386000,0,8000,11000,277000,70000,68000,2572000,7165000,9737000,25000000,120.2,117.95,87.44,114.2366,119.75,117.725,111.425,120.425,117.275
5.803,,6429000,1398000,1853000,1048000,1097000,7364000,0,8000,11000,277000,70000,68000,2651000,4286000,6937000,25000000,120.2,117.95,87.44,114.2366,119.75,117.8366,111.5366,120.5366,117.3866
6.004,,6393000,1287000,1639000,856000,105000,7364000,0,8000,11000,277000,70000,68000,2668000,4352000,7020000,25000000,120.2,117.95,87.44,114.2366,119.75,117.8366,111.5366,120.5366,117.3866
6.204,,6393000,1598000,1781000,786000,5158000,7364000,0,8000,11000,204000,70000,68000,2598000,4754000,7352000,25000000,120.2,118.4,87.44,114.2366,119.75,117.8366,111.5366,120.5366,117.3866
6.403,,6393000,1442000,1401000,711000,1903000,7338000,0,8000,11000,204000,70000,68000,2599000,4227000,6826000,25000000,120.2,117.95,87.44,114.2366,119.75,117.8366,111.5366,120.5366,117.3866
6.604,,6368000,1376000,1615000,766000,5568000,7338000,20000,81000,4000,204000,70000,68000,2621000,3801000,6422000,25000000,120.2,117.95,87.44,114.2366,119.75,117.8366,111.5366,120.5366,117.3866
6.804,,6368000,1519000,1615000,833000,2785000,7338000,10000,35000,4000,205000,70000,68000,2654000,4479000,7133000,25000000,120.2,118.4,87.44,114.35,119.975,117.95,111.5366,120.65,117.5
7.004,,6368000,1309000,1473000,1109000,2661000,7331000,10000,35000,7000,205000,70000,68000,2616000,3852000,6468000,25000000,120.2,118.4,87.44,114.35,119.975,117.95,111.5366,120.65,117.5
7.204,,6338000,1296000,1615000,1068000,230000,7331000,10000,32000,4000,205000,70000,68000,2611000,3803000,6414000,25000000,122,118.4,87.44,114.35,119.975,117.95,111.5366,120.65,117.5
7.404,,6338000,1243000,1686000,746000,2722000,7331000,0,8000,4000,217000,70000,68000,2615000,3890000,6505000,25000000,122,118.4,87.44,114.35,119.975,117.95,111.5366,120.65,117.5
7.604,,6338000,1353000,1378000,726000,3291000,7304000,0,8000,11000,217000,70000,68000,2565000,3478000,6043000,25000000,122,118.4,87.44,114.35,119.975,117.95,111.5366,120.65,117.5
7.803,,6192000,1110000,1971000,1310000,105000,7304000,0,8000,4000,217000,70000,68000,2493000,3472000,5965000,25000000,122,118.4,87.44,114.4616,119.975,118.0616,111.5366,120.65,117.5
8.003,,6192000,1207000,1473000,1492000,105000,7304000,0,8000,7000,199000,70000,70000,2469000,3542000,6011000,25000000,122,118.4,87.44,114.4616,119.975,118.0616,111.5366,120.65,117.5
8.203,,6192000,1318000,1544000,2098000,105000,7316000,0,8000,4000,199000,70000,68000,2408000,3647000,6055000,25000000,122,117.95,87.44,114.4616,119.975,118.0616,111.5366,120.65,117.5
8.403,,6405000,1376000,1758000,1089000,105000,7316000,0,8000,11000,199000,70000,68000,2447000,3482000,5929000,25000000,122,117.95,87.44,114.4616,119.975,118.0616,111.5366,120.65,117.5
8.603,,6405000,1398000,1663000,1673000,105000,7316000,0,8000,4000,280000,70000,70000,2372000,3224000,5596000,25000000,122,118.4,87.44,114.4616,119.975,118.0616,111.5366,120.65,117.5
8.804,,6405000,1376000,1758000,1371000,105000,7211000,0,8000,4000,280000,70000,68000,2352000,3181000,5533000,25000000,122,118.4,87.44,114.4616,120.0866,118.0616,111.65,120.65,117.5
9.004,,6368000,1198000,1639000,1720000,105000,7211000,0,8000,4000,280000,70000,68000,2428000,3673000,6101000,25000000,122,117.95,87.44,114.4616,120.0866,118.0616,111.65,120.65,117.5
