time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4712000,1309000,1483000,1105000,105000,5678000,144000,0,5000,4000,68000,65000,2358000,4935000,7293000,25000000,123.8,120.65,91.22,117.05,122.1116,119.975,114.6866,123.2366,119.975
0.202,,4712000,1243000,1520000,1693000,796000,5678000,294000,0,5000,7000,68000,68000,2400000,3938000,6338000,25000000,123.8,120.65,91.22,117.05,122.1116,119.975,114.6866,123.2366,119.975
0.402,,4682000,1265000,1698000,1089000,105000,5678000,294000,0,5000,4000,68000,65000,2389000,4152000,6541000,25000000,123.8,120.65,91.22,117.05,122.1116,119.975,114.6866,123.2366,119.975
0.602,,4682000,1287000,1401000,1391000,105000,5845000,294000,0,5000,7000,68000,65000,2359000,4201000,6560000,25000000,123.8,120.65,91.22,117.05,122.1116,119.975,114.6866,123.2366,119.975
0.803,,4837000,1065000,1615000,1593000,105000,5845000,281000,0,5000,11000,68000,65000,2358000,5273000,7631000,25000000,123.8,120.65,91.22,117.05,122.1116,119.975,114.6866,123.2366,119.975
1.003,,4837000,1176000,1686000,1156000,105000,5845000,281000,0,5000,11000,68000,68000,2372000,4888000,7260000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.6866,123.125,119.8616
1.202,,4837000,1140000,1971000,1331000,105000,6473000,281000,0,5000,11000,68000,68000,2429000,7498000,9927000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.6866,123.125,119.8616
1.402,,5517000,1140000,1639000,1129000,105000,6473000,284000,0,5000,7000,72000,68000,2510000,7504000,10014000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.6866,123.125,119.8616
1.602,,5517000,1162000,1473000,1431000,105000,6473000,284000,10000,3000,7000,68000,68000,2501000,4821000,7322000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.6866,123.125,119.8616
1.802,,5517000,1184000,1948000,1189000,105000,6681000,284000,10000,78000,4000,72000,65000,2513000,8783000,11296000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.6866,123.125,119.8616
2.002,,5524000,1028000,2808000,1306000,105000,6681000,292000,0,32000,4000,68000,65000,2571000,8461000,11032000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.575,123.125,119.8616
2.202,,5524000,1028000,2256000,1270000,105000,6681000,292000,0,32000,4000,68000,68000,2576000,7130000,9706000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.575,123.125,119.8616
2.402,,5524000,1050000,2066000,1113000,105000,6714000,292000,0,32000,7000,68000,65000,2467000,5100000,7567000,25000000,123.8,120.65,91.22,116.9366,122.1116,119.8616,114.575,123.125,119.8616
