Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1029;13.19662;0
1;1030;14.28557;13.1966161727905
2;1031;13.94115;27.4821910858154
3;1032;13.7574;41.4233379364014
4;1033;14.11089;55.1807346343994
5;1034;13.84573;69.2916212081909
6;1035;14.19964;83.1373510360718
7;1036;13.47438;97.3369884490967
8;1037;13.64297;110.811364173889
9;1038;14.37427;124.454334259033
10;1039;13.60943;138.82860660553
11;1040;14.29292;152.438035011292
12;1041;13.39537;166.730953216553
13;1042;14.07084;180.12631893158
14;1043;14.07667;194.197154045105
15;1044;13.63646;208.27382183075
16;1045;14.14703;221.910281181335
17;1046;13.67828;236.057313919067
18;1047;14.19005;249.735595703125
19;1048;13.42344;263.92564868927
20;1049;13.84896;277.349087715149
21;1050;14.11162;291.198047637939
22;1051;13.78495;305.309663772583
23;1052;14.14068;319.094614028931
24;1053;13.79802;333.235292434692
25;1054;13.72688;347.033314704895
26;1055;13.91792;360.760191917419
27;1056;13.78844;374.678110122681
28;1057;14.10365;388.466548919678
29;1058;13.53964;402.570196151733
30;1059;14.44443;416.109832763672
31;1060;13.41031;430.554260253906
32;1061;13.79672;443.964573860168
33;1062;14.30276;457.761293411255
34;1063;13.66703;472.064054489136
35;1064;14.20094;485.731086730957
36;1065;13.58599;499.932025909424
37;1066;13.68578;513.518016815186
38;1067;14.28729;527.203800201416
39;1068;13.63703;541.491094589233
40;1069;14.09958;555.128127098083
41;1070;13.73234;569.227711677551
42;1071;14.27964;582.960056304932
43;1072;13.59078;597.239692687988
44;1073;13.87547;610.830474853516
45;1074;14.52531;624.705945014954
46;1075;13.11474;639.231259346008
47;1076;14.23719;652.346000671387
48;1077;13.37052;666.583189964294
49;1078;14.23724;679.953711509705
50;1079;13.80479;694.190952301025
51;1080;13.98026;707.995745658875
52;1081;14.0138;721.976006507874
53;1082;13.86073;735.989809036255
54;1083;14.07787;749.850539207458
55;1084;13.53344;763.928404808044
56;1085;14.06651;777.461843490601
57;1086;14.00714;791.52835559845
58;1087;13.92432;805.535492897034
59;1088;13.97047;819.459817886353
60;1089;13.76943;833.430288314819
61;1090;13.63521;847.199717521667
62;1091;14.07755;860.834926605225
63;1092;13.89495;874.912480354309
64;1093;14.19604;888.80742931366
65;1094;13.54266;903.003472328186
66;1095;14.17193;916.546130180359
67;1096;13.65333;930.718059539795
68;1097;13.90271;944.37139415741
69;1098;13.95839;958.274104118347
70;1099;13.93078;972.232491493225
71;1100;14.4012;986.163274765015
72;1101;13.32823;1000.56447410583
73;1102;13.67073;1013.89270401001
74;1103;14.36151;1027.56343364716
75;1104;13.51026;1041.9249458313
76;1105;14.14125;1055.43520736694
77;1106;13.7675;1069.57645797729
78;1107;14.21552;1083.34395885468
79;1108;13.55141;1097.55948066711
80;1109;13.65557;1111.11088848114
81;1110;14.17386;1124.76646327972
82;1111;13.83781;1138.94031906128
83;1112;14.0813;1152.77813339233
84;1113;13.55219;1166.85943603516
85;1114;14.08568;1180.41162490845
86;1115;14.00302;1194.49730300903
87;1116;13.65625;1208.50032520294
88;1117;14.14344;1222.15657615662
89;1118;13.78636;1236.30001544952
90;1119;13.96875;1250.08637142181
91;1120;13.60287;1264.05512237549
92;1121;14.07682;1277.65798854828
93;1122;13.87375;1291.73481273651
94;1123;14.17287;1305.60856342316
95;1124;13.81599;1319.78142929077
96;1125;13.60412;1333.59742069244
97;1126;13.81125;1347.20153713226
98;1127;14.09547;1361.01278877258
99;1128;13.62068;1375.10826015472
100;1129;14.1887;1388.72893810272
101;1130;13.66516;1402.91763782501
102;1131;14.55162;1416.58279514313
103;1132;13.05578;1431.13441085815
104;1133;13.83448;1444.19019412994
105;1134;14.32526;1458.02467441559
106;1135;13.69818;1472.34993648529
107;1136;14.37026;1486.04811573029
108;1137;13.3824;1500.41837787628
109;1138;14.09844;1513.80077457428
110;1139;13.79136;1527.89921283722
111;1140;13.74542;1541.69056797028
112;1141;14.15266;1555.43598556519
113;1142;13.72287;1569.58864212036
114;1143;14.20979;1583.31150817871
115;1144;13.49537;1597.52130126953
116;1145;13.71448;1611.01666736603
117;1146;14.09688;1624.73114776611
118;1147;13.89391;1638.8280248642
119;1148;14.03084;1652.72193145752
120;1149;13.68115;1666.75276660919
121;1150;13.87307;1680.4339132309
122;1151;14.27235;1694.30698776245
123;1152;13.49797;1708.57933330536
124;1153;14.10776;1722.07730293274
125;1154;13.75672;1736.18506526947
126;1155;13.93328;1749.9417848587
127;1156;13.81583;1763.87506771088
128;1157;13.90057;1777.69090270996
129;1158;13.94901;1791.59147644043
130;1159;13.94808;1805.5404882431
131;1160;13.94052;1819.4885635376
132;1161;13.60797;1833.42908573151
133;1162;14.08386;1847.03705596924
134;1163;13.65287;1861.12091159821
135;1164;13.83037;1874.77377796173
136;1165;14.34193;1888.60414409637
137;1166;13.58969;1902.9460735321
138;1167;14.17031;1916.53576278687
139;1168;13.57344;1930.70607662201
140;1169;14.00109;1944.27951526642
141;1170;14.17318;1958.28061008453
142;1171;13.55818;1972.45378780365
143;1172;14.47745;1986.01196670532
144;1173;13.20599;2000.48941612244
145;1174;13.99729;2013.69540691376
146;1175;13.74391;2027.69269943237
147;1176;13.97198;2041.43660736084
148;1177;14.09058;2055.40858840942
149;1178;13.675;2069.49916362762
150;1179;14.34193;2083.17416477203
151;1180;13.48276;2097.51609420776
152;1181;13.93458;2110.99885654449
153;1182;13.99094;2124.93344116211
154;1183;13.77281;2138.92438030243
155;1184;14.00531;2152.69719409943
156;1185;13.58484;2166.70250797272
157;1186;14.15771;2180.28735256195
158;1187;14.39891;2194.44506263733
159;1188;13.14646;2208.84397029877
160;1189;14.20042;2221.99042892456
161;1190;13.63474;2236.19084644318
162;1191;14.31167;2249.82558727264
163;1192;13.4124;2264.13725566864
164;1193;13.89229;2277.54965305328
165;1194;14.17203;2291.44194602966
166;1195;13.76901;2305.61397838593
167;1196;14.22104;2319.38298988342
168;1197;13.54865;2333.60403251648
169;1198;14.0562;2347.15267944336
170;1199;13.79078;2361.20887851715
171;1200;13.6636;2374.99966049194
172;1201;14.19828;2388.66325569153
173;1202;13.67886;2402.86153888702
174;1203;14.3112;2416.54039478302
175;1204;13.38188;2430.85159492493
176;1205;13.87948;2444.23347091675
177;1206;14.19766;2458.11295127869
178;1207;13.70365;2472.31060886383
179;1208;14.2399;2486.01425552368
180;1209;13.52958;2500.25415325165
181;1210;14.14412;2513.78373718262
182;1211;13.86323;2527.92785358429
183;1212;13.60307;2541.79108428955
184;1213;14.16141;2555.39415836334
185;1214;13.72016;2569.55556488037
186;1215;14.13177;2583.27572250366
187;1216;13.59287;2597.40749454498
188;1217;14.05031;2611.00036048889
189;1218;13.89406;2625.05067443848
190;1219;13.69037;2638.94473743439
191;1220;14.09307;2652.63510322571
192;1221;13.60745;2666.72817707062
193;1222;14.00995;2680.33562660217
194;1223;14.15693;2694.34557533264
195;1224;13.50354;2708.50250434875
196;1225;14.15974;2722.00604724884
197;1226;13.77172;2736.16578865051
198;1227;14.11057;2749.93750858307
199;1228;13.58099;2764.04808330536
200;1229;13.98047;2777.62907409668
201;1230;13.97964;2791.60954380035
202;1231;13.77485;2805.58918094635
203;1232;14.30714;2819.36402606964
